Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100,Var101,Var102,Var103,Var104,Var105,Var106,Var107,Var108,Var109,Var110,Var111,Var112,Var113,Var114,Var115,Var116,Var117,Var118,Var119,Var120,Var121,Var122,Var123,Var124,Var125,Var126,Var127,Var128,Var129,Var130,Var131,Var132,Var133,Var134,Var135,Var136,Var137,Var138,Var139,Var140,Var141,Var142,Var143,Var144,Var145,Var146,Var147,Var148,Var149,Var150
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000.0038890026,18000,18000,11680.7484046594,17728.8206057148,18000,18215.5326949443,18000,18000,18000,18000,18000,18000,18043.6128349392,18000,17998.8262733153,18000,18000,18000,17604.2637946584,18000,18000,18000,18000,17900.5477806824,18000,18000,18000,18005.8722053183,18000,18000,18000,18000,18000,18000,18000,31314.1688356003,18000,18094.2987810116,17999.9840511659,18000,17998.8846600809,17999.8237286385,18000,17993.918510144,25374.3281035754,17683.9890561708,22921.0302939332,17985.7114885159,17792.6598362422,18000,18000,17999.2312745462,24381.3912383074,17999.9499109937,18000,18000,17999.9878198911,18061.7429294946,18000.0030889293,18000,18000,18000,18000,18000.7625047813,17931.947937375,18000,18000,18000,18000,18000,12807.8140777165,18000,18000,18000,17964.4115946431,18000,18000,18000,18000,18000,18000,18000,18000,18001.3965249689,18000,18000,18000,17828.317043706,18000.2218922849,18000,20158.9705531751,18000.1549814097,17739.9934254317,18000,18000,18000,7265.11199338567,18000,18000.9398415811
18000,18000,18000,18000,18000,18000,24381.3912383074,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,17932.3578659732,18000,18006.4949494032,17969.1254467282,18000,18212.7675463319,18000,13189.0399450359,18000,18005.4849163662,26883.3991263734,17999.9999848041,18000,18000,18004.0169982735,18000,18000,17823.489792238,17826.5702464192,17999.8366669396,18000,18000,18000.0114758862,17707.2450551337,18000,18000,18000,18093.9059781267,18000,18000,17999.3833743852,7089.63117656748,18000,18000,18036.2912879928,18000,27917.6773619926,18000,18000,18000.4531879617,18000,11243.9289402169,18000,17964.663627573,18011.087664383,18000,18075.9475736844,17378.6553037918,18094.2987810116,17999.5295920088,18302.7513996038,18000,20515.0380730459,18000,17760.2838599947,17999.8237286385,18000,31527.2687852722,18000,18000,18000,31326.0045737516,18000,18000,18000,15120.2277644889,18000,18000,18000,17998.7728355969,18000,18211.3684302639,18000,18000,18000,18000,18000,18000.2218922849,17416.1629313441,7265.11199338567,18000,18000,18000.3386834865,18000,18000.0043375124,18000,18014.8911011415,18000,18000,18024.594782376,18000,18000,18019.8354326782,18000,27233.9488261557,5905.44500982978,17887.7913700193,18000,18082.3422963782,18000
18000,18000,18000,18000,18000,15120.2277644889,18000,18000,18000,18000,18000,18082.3422963782,18000,18000,18000,18000,18019.8354326782,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000.0344064005,17910.1746537004,18000.0556349688,18000,24381.3912383074,18000,24381.3912383074,15120.2277644889,18000,18000,18000,17889.5770900772,18000,18231.4868056584,18010.4166136105,18000.0050748692,18000,11316.1007878974,27635.9017304667,18000,17800.3599248896,18000,18000,18316.4949281461,18000,18000,18000,5905.44500982978,18000,15120.2277644889,18000,17961.2996818984,18000,18000,18000,18000,18000.1705419216,18000,18005.4849163662,18000,18000,17729.5122777669,18000,18000,31326.0045737516,18000,18127.0752701929,18000,18000,18000,18000,5906.46009651459,18002.0224843837,18000,18000,18000,18000,18000,18015.861933849,18000,18000,21676.0557941575,17591.0288565568,18000,18000,27917.6773619926,18146.2134848241,17378.6553037918,18000,17932.3578659732,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,11212.8792302751,18145.2249102448,17682.4340198669,18000,17835.3628462561,18000,24381.3912383074,18000,18000,18210.8782495541,18000,18000,18000,18000
18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18019.8354326782,18000,18000,18000,18000,18000,18000,18000,18000,18000.1705419216,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18258.2434005454,18000,18000,18000,18000,17997.9523130522,18010.4166136105,18000.0150527256,18000,18000,18000,18000,18000,18000,17766.7180416016,18002.643826918,18000,18000,18000,18144.2182879403,18000,17996.022657375,15413.7455327329,18314.8234550625,18081.713433313,17998.1877232229,18000,17846.9778417738,18000,18000,18001.206300954,18000.2066006807,18000.0603641044,18000.0229960871,18000,18000,18000,18000,18000,18000,17994.9943185313,18000,18000.404443532,18000.0386044141,18000,18000,24443.1290482495,18000.2104047094,18000,18000,18162.7160340886,18000,18000,18003.660819301,18000,18000,18000,18000,18000,18000,18000,18209.7428119705,18000.0002453775,18000.0608553361,17999.7862736151,18000,18034.3199426956,18000,18000,18010.4166136105,17773.3528315161,17999.9911051804,17993.2559693004,17999.3470677147,18000,18001.4218126287,18000,18000,18000,18000,18000,18000,18000,18000.2270116468,18000,17999.998862665,18000,18000,18000,18000,4877.04905623468,18000,18000,11253.3747345264,18000,18000,18000,17548.5385208476,17938.5122893466
4877.04905623468,18000,18000,18000,18000,18000.0229960871,18000.0002453775,18000,18000,18019.8354326782,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,4877.04905623468,4877.04905623468,4877.04905623468,4877.04905623468,4877.04905623468,4877.04905623468,4877.04905623468,4877.04905623468,4877.04905623468,4877.04905623468,18000,4877.04905623468,4877.04905623468,4877.04905623468,4877.04905623468,4877.04905623468,4877.04905623468,18000,4877.04905623468,4877.04905623468,4877.04905623468,4877.04905623468,4877.04905623468,4877.04905623468,4877.04905623468,4877.04905623468,18000,4877.05017668643,4877.05017668643,4877.0488197126,16512.7957953295,16218.669821995,17886.26445772,5029.21355015149,15309.9388308366,17742.3665024517,18000,4876.95699519501,18000,18000,18010.0901385072,18000,17652.9709548438,18000,18000,11487.5800864757,18000,18000,18000,18259.1595591905,18000,18000,18000,18020.2223873385,18000,17689.2110639877,18003.4116996643,18000,18000,14859.1870732909,18000,18000,25813.4407540479,18246.3202275102,18000,18000.2814646076,18095.3932130617,19506.0230625416,4877.04955981332,19708.5932419963,18000,14651.5598288522,18000,18000,4881.21827312906,18000,18000,18000,18007.2273926805,18000,18000,18018.2187434558,18010.4166136105,18000,18000,18000,24687.2236837822,18000,18000,18104.6304426384,18000,18000,17999.5335608842,29503.3726830615,18000,18000,18000,18000,21770.0970111693,18000,18002.6684402008,18000,18000,20593.9808128695,18000,18000,18000,18000,18000,18000.1681378012,18000,18000,18000,18000,18000,17997.2176914057,17999.8568342355,17689.8879111204,23741.5827755064,18000,17628.922059905,18000,17384.5321995652,18000,23995.0551409799,17236.7793117598,24475.3457449529,20939.2267107975,11430.9673605091,18000
4876.95699519501,5029.21355015149,4877.05017668643,4877.05017668643,4877.0488197126,4877.04905623468,5029.21355015149,4877.04905623468,18095.3932130617,11487.5800864757,4877.04905623468,18000,18000,18000,18000,18000,19708.5932419963,18000,4877.04905623468,18000,4876.95699519501,4876.96766076505,5335.86452214842,4876.95699519501,4876.96766076505,4876.9566854042,4865.8213741237,4865.79213082059,4865.82233538132,4865.73585876378,4877.04892317013,4877.05017668643,5335.86452214842,4877.04557628113,4877.04905623468,5332.03416278493,5332.03416278493,4877.04905623468,4877.04905623468,4877.04905623468,4877.04905623468,4877.04905623468,4877.04905623468,4877.04905623468,4877.04905623468,4877.04905623468,4877.04905623468,4877.04557628113,4877.04905623468,4877.04905623468,4268.78955590209,16236.2939017162,18060.5429151725,4940.07321889071,18008.9447971467,20346.0085302248,18000.0509396798,5963.61803327671,18047.0311461997,4877.04027178127,18000.5320233162,18000,5205.22486814593,18012.8161422602,15041.9024542864,6904.29044344627,17996.6374663406,18000,18000,18107.2521115244,5099.057186681,18057.81887299,4877.12499651325,20131.1940699509,10307.5315982988,18331.7903434362,4864.66920342774,16542.2056732638,4877.22053910854,11273.6637757692,18000.1770092294,18004.4101047108,14594.3903251967,26457.2244502415,5029.26708796174,18000,12009.579902992,20777.8063234471,18079.8250406688,18036.0978363484,18250.5416382648,4877.36865686224,17893.2427502876,17686.4238592882,8501.2475368806,4876.9610060411,4900.90139469354,23948.0728988143,29692.5067593844,18327.3062602341,17989.5636793368,4893.3295392098,14732.4022360897,4863.8652963107,4884.33781668342,27132.4324994077,10331.3976532265,17999.0509123535,13083.3324092564,28414.0500301144,4877.32006835525,18000,11349.0125861444,22040.1744589166,4877.10197052582,4877.01231421791,26321.7118828763,16496.4338813356,6497.77133677146,18000,18000,4934.1805662968,4892.63040847009,18000,17991.0888762116,19718.7838951298,18001.6699641884,3913.47033848709,6128.65077880366,17781.7399620558,18000,17220.0002007279,19506.0230625416,4261.25103721993,9141.0199492873,17809.651558987,16340.9224855974,3750.05838766929,18949.8462378832,18000,26171.2122171111,18000,20200.8894588128,5651.38112966352,18000,1929.26434187889,13492.1725640792,3333.37197894054,18000,17911.5942333566
4865.73585876378,5335.86452214842,5335.86452214842,5205.22486814593,4934.1805662968,4876.9610060411,5029.21355015149,4940.07321889071,4877.04905623468,20200.8894588128,5205.22486814593,10307.5315982988,3333.37197894054,3333.37197894054,4877.04905623468,18250.5416382648,5029.21355015149,4876.96766076505,18000,4864.66920342774,4876.87371773952,4878.44613663072,4892.32647474243,5029.10913703142,4877.05040535366,4877.04027178127,4877.04892152944,4877.04905623468,4876.95699519501,4877.04892152944,5547.68269209364,5547.80952399785,4877.00726176901,4877.04442575786,4865.74649560007,4865.7445186205,5029.21355015149,4865.74400906963,4865.73585876378,4817.9986711329,4865.7912423725,5026.92391687727,4865.81968761921,5332.03416278493,4876.95699519501,5408.18020078389,4877.09532150014,4876.95699519501,4877.04864800978,5205.19444207588,2718.66224207032,4877.0513252132,18267.0847046372,4751.81365560456,4887.76065830669,3789.62950507857,4877.07130679711,4863.15350001538,4584.3830850849,4877.10738862346,4885.19040764461,18058.117012944,4883.90260154843,3232.29752714766,4871.97026149869,4873.36939823142,14061.9253712797,4839.91145045419,6919.80795723237,18082.1482411468,3962.31172435954,18000,4688.03793515495,17992.2364375844,6696.98318609955,4189.3375920152,5099.39426989578,4876.86087652892,3012.57500728415,4876.99661462714,4006.43536923091,21523.670511806,4877.03346346052,3120.09105585766,17993.1717381918,23635.1802481174,27139.362512318,4877.06832299103,3880.81462366185,4875.48169364959,18041.0257647517,3669.96992500363,5335.86452214842,17919.5487938109,23115.3103816725,4958.59220771789,14484.7307955498,20552.9073491874,4878.32074494548,8884.52100415779,4871.3161540386,4885.08279495256,16089.6893106833,4858.58945647033,5838.18854263346,27007.3794159833,5031.74659140406,25764.6463720753,5671.80170406968,5473.86638236662,18032.4905727191,4568.31969453567,2568.86788564283,3414.82974673025,18331.7903434362,4876.99094889043,28926.6036975338,21728.4164461326,4229.37739322685,5996.32224850339,18000,8377.68410421978,5503.12667156565,4864.65809038357,5029.11847187554,11350.2301873717,23673.8662509228,15154.0395556613,5558.90721037213,4340.76590388497,4931.58157158383,4869.12361627324,7491.19639580243,15318.953769756,20345.010692108,22774.4661583021,16426.5655603492,5349.84010147022,11351.4410503609,4877.05999653211,13614.7500918922,5381.84668654275,4806.40234774637,21615.9360471866,7581.05637461995,4874.09405571674,4007.89579414466,19334.2319318118,911.420741877422,4864.1087511639
4871.3161540386,4865.73585876378,4865.73585876378,4877.04442575786,4865.81968761921,5547.68269209364,5547.68269209364,4877.0513252132,4877.07130679711,4876.99094889043,4877.10738862346,5031.74659140406,4874.09405571674,4864.1087511639,4865.7912423725,5026.92391687727,4876.95699519501,11351.4410503609,5335.86452214842,5473.86638236662,4830.51400902774,5029.27742838218,4871.3161540386,5235.55131414153,4871.3161540386,4877.04793228349,5331.96198609267,4885.38820780131,4871.3161540386,4865.74649560007,4877.05040535366,3742.4386485229,2862.24258623761,4864.65890520734,4871.29700620142,4876.95699519501,5029.21355015149,4865.73585876378,4865.73585876378,4958.59220771789,4877.04559307635,4877.04864800978,5335.86452214842,4865.81968761921,4871.30502031883,5350.50974764362,5335.51781664027,4871.30325828673,4865.73585876378,4865.73585876378,5207.23130210601,1412.43735541792,5095.00723741915,5723.09444805283,5028.12240129431,3203.4256764345,5083.39867750343,10029.0198986426,18035.0203262316,4849.86349903534,4888.14821757828,5333.51909554333,4870.9975842365,4758.11890109984,3559.97900084412,5029.0825368112,5221.87467537869,4876.95487587681,2178.73808351779,5042.78143923266,3082.5779293705,4119.01749473287,5029.41725978081,5411.14678970407,5106.17118962676,5034.19308835902,4730.42012210144,4755.98839252811,4876.8823584862,5333.33970914706,7655.28698045755,3863.98556691897,5451.19439943957,4914.35867501057,3303.123576654,4876.85078157599,8925.62984197688,4872.03966006194,4923.57210657185,3169.31495163207,23851.6137909695,4869.11578180175,18355.6575722904,4461.85800552628,3283.37491593025,7505.48356792275,4885.10520161072,4137.59733796564,4794.33166496603,5344.73511400666,15448.346040232,3177.57621574652,9588.99461812676,4601.96437480006,933.863367238013,4876.72723413531,4883.61943041468,5634.88623565371,4755.24302984283,23495.9862534528,3228.448499412,4865.64426542078,18058.0313307108,4175.88852615809,4868.9007567254,4877.0489510045,6250.35925084368,4935.42644529269,5045.6963879269,4876.71422640498,6046.04711949504,4865.38629373336,5619.56505828508,4865.85197790694,4776.80413634426,3279.0599470008,4890.58612421791,4876.87324520814,4851.44827914635,4882.52615140283,5204.44840657467,4877.01488570389,4890.34828669417,17998.5582164333,8852.23534415569,4877.04868974729,4147.93246888301,4933.17953938039,9166.74180573519,5028.56301069682,4842.13358685177,4877.08975591549,2934.91702328573,3969.0454410774,4800.42134638957,5591.72863561664,4528.71860406554,5029.21596946964,4876.93309667789,930.489686319645
