Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100,Var101,Var102,Var103,Var104,Var105,Var106,Var107,Var108,Var109,Var110,Var111,Var112,Var113,Var114,Var115,Var116,Var117,Var118,Var119,Var120,Var121,Var122,Var123,Var124,Var125,Var126,Var127,Var128,Var129,Var130,Var131,Var132,Var133,Var134,Var135,Var136,Var137,Var138,Var139,Var140,Var141,Var142,Var143,Var144,Var145,Var146,Var147,Var148,Var149,Var150
1192.5,1193,1199,1199,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
1192.5,1193,1199,1199,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,904,1172,1200,1200,1200,1177.5,1200,1200,1200,1200,1200,1200,1079,1200,1200,1009.5,1200,1198.5,1200,1133,1200,1200,1200,1200,1200,1200,1200,1200,1200,1195,1200,1200,1200,1200,1200,1200,1200,986.5,1200,1196.5,1195.5,1200,1200,1200,1200,1200,1200,1160,1200,1200,1200,1200,1200,1200,1011,1200,1200,1196,1200,1067.5,1173,1181.5,1200,1200,1200,1200,1200,1200,1200,1180.5,1200,1156,1200,1200,1200,1200,1200,1200,1200,1148.5,1200,1100,1200,1200,1168,1200,1200,1200,1200,1200,1196.5,1195.5,1200,1200,1197,1167,1200,1200,1200,1200
0,0,173,189,575.5,1200,627,1168,1200,1200,1200,1200,1157,1200,959,1200,1193,1200,1195.5,1200,1008,936.5,936.5,937.5,937.5,937.5,968,998.5,908,908,908,978.5,978.5,978.5,978.5,953.5,952.5,952.5,952.5,952.5,916.5,972.5,911.5,911.5,911.5,911.5,911.5,911,904,904,1176.5,1200,1200,1200,1197.5,1200,1198,1160.5,1200,1161,1189.5,1200,1200,1138.5,1154,1189,1200,1200,1198.5,1171.5,1179.5,1105,1200,1200,1200,1154,1195,1197,1200,1199.5,1200,1162,1200,1199.5,1200,1200,1200,1200,1200,984,1200,1193.5,1116,1199.5,1200,1200,1200,1200,1200,1170.5,1198.5,1179.5,1122,1197,1200,1199.5,1055,1200,1200,1200,1200,1188,1061,1160.5,1200,1200,1200,1200,1097.5,1188.5,1200,1175.5,1122.5,1200,1182,1200,1200,1167.5,1093.5,1200,1200,1200,1200,1200,1199,1145.5,1200,1131,1200,1200,1200,1200,1088.5,1194,1153.5,1200,1200,1156.5,1200,1200
0,0,173,189,575.5,650.5,753.5,782.5,1200,828,818.5,735,808,1021,1195.5,1099.5,866,1200,1196.5,1123.5,889,889,933.5,934.5,934.5,943.5,968,896,885,956.5,908,956.5,956.5,956.5,956.5,956.5,952.5,952.5,977.5,985.5,945.5,939,915,915,915,915,915,915,915,928,1199.5,1198,1155,1164,1184.5,1162.5,1170,391,1094,1014,1200,1200,1180,1126,1153.5,1134,1004.5,1200,1140,1200,1200,1108,742,1138,1192,1199.5,1132,1169,1154,1200,1199,1166.5,1145,1160.5,977,1126,983,0,1193.5,1194,1015.5,1200,1200,1062,1200,1183.5,1200,826,1108.5,1176,1143,1134.5,1199,1168,1156.5,1200,982.5,1159.5,1125.5,1153.5,1160,1200,1081,1155,1134,1167,1167.5,1106,1199.5,1195,1187.5,1198,1199,1193,1052.5,1164,1169.5,1200,1148.5,1200,1200,1197,1140,1146,1199.5,1128,1135,1200,1200,1071.5,1134,1199.5,1140,1115.5,0.5,1147,1195.5,1059,1200,1004
0,0,176,0,456,650.5,1198.5,602.5,822,857.5,697,821.5,730.5,802,1014,1144.5,866,823,1102.5,1025,0,0,0,0,0,0,0,0,885,0,0,0,0,0,0,0,952.5,956.5,0,985.5,0,0,0,0,911.5,915,0,0,0,904,1143,1008,1113.5,1184.5,1007,1002,943.5,1125,977,987,1012.5,1075,888,1162.5,1121.5,1154,1121,1127.5,1174,1107.5,1156,1126.5,1124,1148,1116,1097,1160,714.5,1071,1043.5,1146,1120,1104,1008,1174,1136,986.5,1115,1034.5,982,986.5,1163.5,974,996.5,1198,1108,1064,986.5,1095,971,1088,1176,1172,1198,1158.5,1014,1154,1058,1164.5,1200,1131,1200,1046.5,977,1119,1123.5,1155.5,1053.5,1171.5,1074.5,370.5,1097,1130,1188,1149.5,1200,1111,1116,1196.5,1106,1143,1146,1148,1123.5,1110,1180,1181.5,1097,1187.5,1162.5,1137,1111.5,1100,1069,1116,1119,1145.5,1094,1097,1100
0,0,0,0,0,672,740.5,0,0.5,662.5,997,0,0,996.5,870.5,921,901.5,962,960.5,968,0,0,0,934.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,1167.5,862,386.5,1184.5,535,1199,1047,1097.5,1111.5,1000.5,1010.5,1156,1092,948,1121,1117,775.5,1200,832.5,1158.5,0,0,1157.5,1102.5,0,641,1199,1196,503.5,1198,1050.5,402.5,459,1170.5,0,1083.5,1194,782.5,1114,1124.5,1022.5,0,985.5,1091.5,986,444.5,1181.5,878,1088.5,1014.5,1184,1141.5,1009,0,1200,0,14.5,1185.5,1159,1066,1197,1118.5,702.5,1187.5,1153.5,434.5,0,1067.5,1156,1135,1200,631.5,0,1097,1124,1198,1138,1093,1156.5,1138.5,1147.5,1120.5,510.5,1095,1024,1079.5,1196.5,1152.5,1148.5,1124.5,1144,0,909.5,1136.5,1149.5,1199.5,0,1174.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5,0,1.5,16.5,0,28.5,0,28.5,0,1113,526,99.5,1139,0,0,1084,1058.5,1179.5,168,1075,1136,2,1002,1067.5,1121.5,0,1004,901,1096,931.5,1197,1186.5,207,1074,1073.5,472.5,1154,1162.5,1197,0,759.5,1196.5,1187.5,984.5,347,1181,526,0,871,0,0,1197,1028,442.5,0,0,0,1068,1173.5,0,945.5,423,1189,1132.5,0,0,1190,1194.5,395.5,0,1199,1176.5,1157.5,386.5,0,774,468,1123.5,1157.5,1112.5,1133,1084.5,1119.5,1102.5,1157,1061,0,1089,1103.5,1144.5,255,0,1125.5,1183.5,0,188.5,1075,1135,1188.5,1052,702,981,1148,1103.5,1190,1053.5,1120.5,1013.5,1182.5
0,0,0,0,0,0,0,674.5,0,28.5,807,0,0,0,0,28.5,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894.5,0,1123.5,1066.5,874.5,23,907,1163,0,0,0,0,39,1117.5,661.5,739,1171,1071,0,1139,4,1167,0,22,1187.5,1196,0,178,507.5,1163.5,0,687.5,0,1187,0,1200,492.5,610,0,0,978.5,0,1042.5,0,0,0,1197.5,0,91,894.5,0,854,1077,0,1200,1178.5,1146,0,0,394.5,61.5,213.5,15,0,1185.5,1072.5,0,0,0,0,1160.5,477.5,1136,1196,1173,0,0,1129.5,5.5,433.5,832,1198.5,1200,546.5,19.5,0,0,1192,0,1168,0,905,395.5,1199,918.5,1077,1197,736.5,1164
0,0,0,0,0,0,0,0,0,0,0,627,28.5,433.5,178,0,0,0,0,477.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,887,14.5,0,170.5,0,0,1161,131,0,820,958,1151.5,734,1139.5,64,0,407.5,118.5,1162.5,1190.5,0,0,220.5,6.5,1135.5,19.5,0,1112.5,1152.5,0,447.5,1138,998.5,686.5,36,638.5,0,975.5,0,389.5,877.5,573.5,1035,0,503,146,0,0,0,1138.5,0,2.5,0,0,3,0,1191,0,0,0,0,0,7,1,33.5,1086.5,0,486,651,507.5,0,448,453.5,73,0,118.5,610.5,1137.5,1060.5,38,1172,52,780,0,1151.5,18.5,0,0,9.5,0,0,473,464.5,125.5,0,223,512
0,0,0,0,0,19.5,0,6.5,28.5,0,0,64,0,146,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.5,26.5,1150.5,927.5,0,1135,917,258.5,0,0,430.5,0,17,534.5,793.5,0,366,303,0.5,670.5,842,0,969.5,0,0,0,0.5,0,991,100.5,0,12.5,548,0,0,1058.5,1086,0,736,514,115.5,0,0,1144.5,0,0,0,81.5,88.5,0,1027,741,293.5,0,10,0,179.5,0,1114,0,0,476,0,1088,0,0,0,0,0,262.5,0,1185,0,1200,0,133,519,554.5,0,0,98,123.5,1090,22,0,0,0,1,0,3,0,659.5,982.5,641.5,573,0,1078.5,0
