Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100,Var101,Var102,Var103,Var104,Var105,Var106,Var107,Var108,Var109,Var110,Var111,Var112,Var113,Var114,Var115,Var116,Var117,Var118,Var119,Var120,Var121,Var122,Var123,Var124,Var125,Var126,Var127,Var128,Var129,Var130,Var131,Var132,Var133,Var134,Var135,Var136,Var137,Var138,Var139,Var140,Var141,Var142,Var143,Var144,Var145,Var146,Var147,Var148,Var149,Var150,Var151,Var152,Var153,Var154,Var155,Var156,Var157,Var158,Var159,Var160,Var161,Var162,Var163,Var164,Var165,Var166,Var167,Var168,Var169,Var170,Var171,Var172,Var173,Var174,Var175,Var176,Var177,Var178,Var179,Var180,Var181,Var182,Var183,Var184,Var185,Var186,Var187,Var188,Var189,Var190,Var191,Var192,Var193,Var194,Var195,Var196,Var197,Var198,Var199,Var200
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435,0,0,0,1358,1443,0,0,1404,0,0,0,1498,0,0,0,0,0,0,0,0,0,0,857,0,0,0,0,0,0,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476,0,0,0,0,0,0,0,0,0,0,0,0,646,0,0,1465,0,1420,0,0,0,0,1089,284,0,0,0,0,0,0,0,0,1484,0,0,0,0,0,0,1283,0,0,0,0,0,272,0,0,0,0,0,0,0,1282,481,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,1458,0,1486,0,0,0,0,0,0,0,1331,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,0,0,640,0,322,0,0,0,0,1285,0,0,0,0,0,0,646,0,0,0,1112,1498,0,0,0,1270,0,0,0,0,0,0,585,0,0,0,0,0,624,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1421,0,794,0,0,1499,0,909,0,0,0,0,0,0,0,0,0,0,0,1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1471,0,0,228,0,1499,0,0,0,0,0,0,0,0,0,1477,0,0,0,0,0,0,0,0,0,0,0,0,990,0,0,0,0,0,0,0,0,1262,1434,0,0,1481,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222,0,0,0,120,564,0,0,0,0,0,0,1481,807,1321,0,522,0,0,0,0,0,0,0,0,0,0,724,0,1390,0,698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,0,0,1474,0,0,1124,0,0,0,0,0,983,0,1408,0,0,0,9,0,0,0,0,0,0,0,0,1469,1238,1359,0,0,0,257,977,0,0,0,0,862,0,0,0,0,0,0,1487,0,0,322,0,0,0,1474,0,0,0,0,0,0,0,0,0,0,725,0,0,788,1113,0,1482,1072,1426,0,0,0,0,0,1062,0,1446,0,1442,0,0,811
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,542,0,0,0,0,0,1483,1165,0,0,0,0,0,1294,0,0,0,0,0,1309,297,1237,1475,1380,1230,1266,0,0,1283,0,0,0,1483,588,0,252,0,0,1049,1490,0,0,1423,0,1400,1470,0,0,0,0,0,0,1472,1495,0,0,1385,0,1432,0,0,0,1488,0,878,1445,0,1390,0,0,0,1296,0,1478,0,0,0,0,1465,11,1484,1484,0,1374,1121,1263,1445,387,110,0,0,0,0,1481,0,1398,0,448,0,0,0,0,0,0,0,0,1328,0,0,0,0,1462,0,847,0,0,0,1468,0,1474,0,1488,1338,0,0,0,1282,0,1463,0,1218,0,1446,1401,1424,0,1000,0,1451,0
0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489,0,0,0,782,1481,1458,52,0,1439,315,0,436,0,1482,0,0,1446,0,0,825,1439,0,69,1281,877,0,0,1317,0,1428,403,1365,1477,0,0,0,1486,1475,1115,0,1486,0,0,0,1196,0,1472,0,1406,1316,0,0,1282,1488,0,1486,54,1338,541,0,0,0,1038,1163,942,570,1456,1483,0,0,0,1363,0,1374,0,855,0,1470,1345,1398,0,1489,1495,0,0,1302,1307,0,1457,0,1438,1153,1132,618,0,0,0,1445,0,0,0,0,0,0,0,1499,1475,1366,0,0,0,43,1110,0,1465,0,0,1476,0,1333,0,0,833,1356,1498,1467,992,0,0,0,0,0,0,0,554,1317,4,571
0,0,0,0,0,0,0,0,0,0,0,1428,0,0,0,0,1338,0,0,0,0,0,0,0,1476,0,1439,0,0,0,0,0,0,0,0,1472,0,0,1492,0,30,1471,0,30,0,0,0,1132,0,975,975,723,782,0,0,0,0,1048,973,895,0,1497,1486,0,1453,1123,972,0,1140,1456,189,0,0,0,0,1497,0,0,0,1447,1399,1498,1487,0,1473,0,1043,0,1345,0,411,1467,1224,0,0,0,1438,44,0,1381,1492,0,30,0,0,1460,1481,1493,973,973,1170,0,0,0,1302,0,1486,0,0,0,0,1446,1491,0,0,1496,0,0,1418,0,1181,1498,0,1093,1335,0,0,1419,0,0,0,851,0,0,0,0,1478,0,1450,1494,1491,0,0,37,0,1175,118,0,1479,0,876,315,1409,1458,1394,1385,0,0,1419,1394,0,0,1047,0,0,1445,1489,1082,0,756,1496,0,0,1466,1491,0,1442,0,1404,0,0,0,0,0,1382,1177,0,0,0,1408
0,0,0,0,0,0,0,0,0,0,315,0,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975,0,1427,0,0,0,0,1334,0,0,0,0,1248,819,0,1444,1369,1375,1481,0,1206,0,0,1491,0,0,0,0,1479,0,0,0,0,0,30,0,1134,1486,0,949,1158,0,0,1472,0,0,1457,0,0,1423,0,0,0,1454,1475,0,0,0,1448,0,1432,1125,0,0,0,0,0,1277,0,0,0,0,0,0,1242,1179,0,1443,0,0,0,0,0,0,0,0,0,1383,0,0,0,0,0,0,0,1474,0,1474,0,0,0,0,0,0,0,186,0,1399,1349,0,0,0,0,0,0,0,0,1480,0,1491,1024,1467,1370,0,0,0,0,0,1205,0,1429,0,0,0,0,1168,1439,0,551,0,987,0,1286,477
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1490,1381,1489,2,1097,0,0,0,1394,733,0,184,1286,0,0,1493,0,0,0,0,0,0,1458,1463,0,989,0,0,0,1449,0,0,1494,1262,1438,1475,0,1485,1481,1362,0,1461,0,0,1463,0,0,0,1460,1426,1487,419,0,0,1485,27,678,1450,1481,1480,1315,0,1111,0,0,1498,0,1178,0,1470,1497,1486,0,0,58,0,1244,1470,1469,0,1408,1448,866,819,0,0,1470,298,1465,1331,0,0,0,0,1438,1222,1485,394,1478,1494,1456,0,0,0,0,0,0,846,883,0,1125,1476,1321,0,1142,241,1422,0,1464,0,0,0,0,1013,1481,1481,0,0,1093,0,0,0,0,0,0,1484,0,798,0,0
0,0,0,0,0,0,0,0,394,0,0,0,0,0,0,883,0,0,1315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1479,1444,1488,1343,899,1481,1477,1460,0,0,0,0,1387,0,0,882,647,0,0,1066,13,1348,0,0,0,0,1480,0,1478,0,0,0,0,256,1341,0,1486,0,1479,0,0,0,0,0,1481,1493,0,0,0,0,0,1456,1468,416,0,0,0,0,1409,0,0,0,830,1334,0,1499,0,0,690,1456,0,1229,1244,1486,0,1206,0,1128,0,1498,1407,0,1464,1446,0,0,0,0,0,1484,1222,0,0,1496,1465,1471,0,0,1001,1366,0,0,1498,1489,1429,0,0,0,253,997,0,0,0,0,1472,0,0,0,0,1255,0,0,64,0,1495,1488,1067,0,0,1478,0,0,1439,0,0,1463,1378,1359,0,0
