Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100
278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278
278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,278,153,278,278,279,278,246,278,278,278,263,278,278,278,278,278,278,278,278,278,278,278,185,278,278,158,278,263,278,278,279,278,277,278,278,278,278,278,278,279,278,278,278,278,278,278,154,278,278,278
153,154,158,185,246,278,278,263,278,278,263,278,278,153,278,278,278,278,278,278,278,278,153,153,153,153,153,153,153,153,153,278,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,278,153,278,278,278,151,278,278,278,278,278,278,278,278,278,158,278,278,278,278,278,246,278,277,0,278,278,276,278,289,278,278,276,278,278,278,278,279,250,278,278,278,277,278,278,278,278,278,246,278,278,278
0,151,153,153,153,278,153,154,278,246,278,278,278,153,153,278,153,185,153,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,279,278,289,155,147,196,278,0,278,278,278,278,0,59,2,296,166,153,151,156,218,0,184,278,278,278,158,157,152,137,154,284,246,217,251,154,153,278,55,155,278,278,278,0,129,278,278,150,0
0,0,0,0,0,155,153,0,0,154,0,0,278,0,137,153,0,0,153,147,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,278,0,0,166,243,278,0,278,201,191,0,192,0,0,297,167,221,0,0,0,0,175,0,141,0,0,0,0,278,197,147,0,0,0,278,0,103,0,0,0,0,0,0,118,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,277,0,0,0,0,0,0,278,0,0,0,0,170,0,0,0,134,0,0,0,0,0,0,0,0,0,87,0,154,161,0,0,0,0,191,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,23,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,98,278,57,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,99,0,0,0,278,0,0,234,272,0,0,0,0,0,0,0,0,0,0,278,278,181,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,18,0,0,0,0,0,0,57,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,107,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,184,0,0,255,0,184,0,0,31,0,0,0,0,38,0,0,0,0,37,0,0,35,258,258,0,0,167,0,155,40,119,0,0,116,0,0,0,0,0,0,0,0,0,0,0,258,0,61,258,1
0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,116,0,0,0,38,0,0,0,0,0,15,0,85,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,117,0,0,0,0,0,0,32,0,287,0,25,111,0,0,286,0,258,0,196,0,0,257,201,0,0,254,0,287,82,121,0,258,0,0,287,6,40,286,174,0,82,0,55,0,262,0,0,0,0,0,25,0,0,31,0,0
0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,211,0,0,105,0,6,78,0,0,0,0,0,0,0,0,0,0,0,97,52,0,124,17,255,0,15,17,112,47,0,195,34,0,0,246,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,64,0,0,0,137,57,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,120,0,34,0,0,0,0,0,190,287,0,160,258,40,69,0,0,0,0,258,22,45,122,0,0,0,0,0,0,0,3,0,0,258,0,0,47,53,0,134,61,0,287,0,129,0,286,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,14,0,0,0,0,0,0,0,0,137,137,0,0,16,0,0,0,0,25,0,0,0,0,0,145,52,0,244,0,161,0,35,0,0,287,28,0,0,0,0,141,250,0,0,0,22,258,0,0,0,66,0,278,286,233,0,0,15,0,93,77,251,83,258,0,0,285,165,0,219,69,0,57,34,0
0,0,0,0,0,0,0,0,0,57,0,0,244,25,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,258,213,0,0,0,0,0,0,0,149,275,0,0,0,0,0,0,278,208,0,0,0,0,258,0,0,0,0,0,295,258,0,0,16,207,39,117,0,0,0,0,0,52,0,0,0,0,102,15
0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,137,0,228,0,0,186,0,0,258,130,0,51,0,0,32,205,286,10,0,0,0,0,232,0,0,151,278,258,137,258,0,0,0,0,284,0,0,258,0,0,0,0,58,256,9,0,0,0,273,263,250,127
0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,278,0,211,0,0,0,0,0,226,0,0,0,0,0,0,0,0,1,0,0,0,0,7,217,26,0,0,0,258,0,0,0,0,0,0,0,0,0,5,0,229,0,229,129,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,55,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,258,294,0,0,0,34,0,0,0,0,0,0,75,0,0,0,0,46,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,263,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,152,0,0,0,212,0,0,0,289,0,0,0,251,0,0,0,195,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,190,0,256,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,130,0,1,0,0,258,0,0,0,32,0,0,180,264,20,0,172,0,0,24,236,0,0,0,293,12,0,0,279,123,0,0,100,70,0,0,63,0,206,0,0,0,114,0,0,266,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,285,0,0,295,0,105,34,27,21,86,0,0,20,285,0,1,0,258,71,22,0,30,16,48,0,0,21,0,0,272,280,0,0,149,0,12,295,0,277,0,0,0,0,0,0,0,1,0,0,280
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,127,0,0,266,292,23,295,82,0,209,0,0,0,38,0,278,261,0,0,278,29,246,22,0,290,233,0,0,0,99,226,81,0,0,0,202,288,0,0,0,0,252,140,0,32,0,241
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,287,0,266,248,278,0,0,272,0,289,145,0,0,258,256,291,280,0,0,0,0,0,0,0,0,43,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,38,188,0,0,0,0,208,0,293,0,31,291,51,287,19,0,0,259,258,0,0,0,0,24,263,199,0,0,0,0,0,0,136,33,204,184,0,294,288,286,258,0,0,0,0,258
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,258,0,294,280,0,0,0,35,0,93,0,130,269,0,0,0,0,0,294,46,0,51,0,0,0,0,294,0,240,297,153,0,0,262,221,120,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,209,0,0,0,0,0,0,0,0,16,0,0,0,0,20,258,114,0,0,0,26,0,0,9,89,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,39,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,93,0,0,0,263,0,137,17,0,0,247,285,258,11,0,193,24,0,0,294,19,258,0,0,0,186,0,0,22,0,0,0,295,0,0,272,121,32,285,0,29,0,0,0,0,68,0
0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,171,232,129,0,0,0,97,0,27,24,0,0,0,216,0,0,0,0,233,0,272,0,0,164,0,249,255,51,0,0,0,0,0,0,0,258,173,243,0,0,0,75,18,258,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,230,244,0,0,63,0,0,0,25,0,13,0,0,0,247,0,0,195,0,0,0,0,0,0,0,25,19,63,0,1,88,35
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,20,0,261,0,0,0,0,0,258,0,265,0,287,0,0,0,0,37,22,59,60,89,0,0,0,230,0,0,0,18,0,132,34,0,0,258,0,0,0,0,0,0,246,22,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,293,36,0,0,0,0,266,0,0,0,0,0,0,279,0,295,0,9,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,16,33,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,80,285,0,287,0,94,238,0,276,0,0,0,0,217,20,294,0,0,280,180,250,184,0,222,254,287,0,298,269,0,286,249,0,266,0,0,0,0,0,153,27,0,241,0,260,36,0,0,44
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,84,0,0,0,0,0,0,0,0,0,258,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,137,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,237,0,221,0,0,0,139,0,0,0,0,0,0,0,231,25,295,174,0,0,284,235,0,0,0,243,242,0,0,0,0,181,282,287,0,1,0,0,0,0,0,0,0,215,0,286,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,215,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,39,294,0,0,0,0,0,268,0,0,15,277,258,0,0,51,271,150,11,0,0,0,275,22,0,131,212,0,0,278,0,0,0,15,0,0,28,0,165,9,0,0,0,0,0,281,0,267,20
0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,273,0,0,0,0,0,41,0,145,0,0,228,90,0,0,0,0,220,200,0,65,0,87,0,295,245,258,0,20,266,0,0,0,0,0,0,0,0,291,0,0,0,0,191,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,167,0,0,253,0,0,271,0,0,297,0,0,144,295,0,237,0,0,0,274,0,0,22,280,30,241,0,0,0,271,0,0,42,0,0,0,0,295,0,289,21,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,16,16,0,0,0,0,0,15,0,0,0,0,0,0,226,0,228,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,252,122,0,0,0,0,125,0,0,0,0,0,9,0,0,0,0,193,221,0,0,0,0,0,121,254,0,0,0,277,280,0,28,0,0,0,0,0,0,0,220,0,0,56,0,0,284,0
0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0,0,238,0,108,0,0,18,0,16,0,0,93,0,258,0,45,49,0,0,0,294,0,254,270,0,143,0,0,0,204,41,0,0,0,0,0,70,0,0,194,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,284,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,280,293,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,246,15,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,220,0,155,0,21,232,16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,194,0,0,133,4,44,0,0,0,0,0,146,85,0,0,0,101,0,0,0,0,233,0,0,0,0,0,0,63,26,280,94,0,0,0,0,0,0,261,17,0,0,0,0,0,0,0,90,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,65,0,173,0,247,289,0,204,0,0,85,0,77,0,0,0,0,38,19,0,266,0,271,85,10,0,87,85,85,0,85,0,0,0,279,0,82,0,0,16,0,84,59,0,56,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,268,280,57,0,85,0,182,0,0,0,0,0,27,0,138,10,179,0,0,0,192,0,245,268,0,0,19,59,0,0,0,0,0,19,0,0,0,0,0,0,0,0,85,0,0,0,45
0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,24,0,0,97,0,0,0,299,122,11,0,0,0,160,0,248,254,0,0,0,0,0,68,278,0,0,0,150,0,0,0,0,0,0,183,0,154,0,0,0,167,85,0,0,194,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,14,0,0,0,188,0,0,24,0,0,0,0,28,0,0,0,18,0,38,0,0,295,0,58,0,0,0,0,166,42,0,0,0,258,0,93,0,0,0,0,0,0,32,85,68,0,220,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,129,37,0,0,31,0,106,0,0,0,0,0,39,0,206,80,0,0,206,0,98,0,0,6,0,0,228,0,0,199,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,277,237,95,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,180,0,85,178,0,0,0,0,0,0,0,0,45,20,51,0,0,0,0,0,0,291,68,0,171,131,0,29,84,170,0,0,0,7,0,0,77,185,60,0,0,0,16,269,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,71,0,0,0,0,214,0,0,0,104,75,17,296,96,0,246,202,0,267,74,0,283,274,246,229,160,183,0,0,0,1,282,168,0,27,257,1,260,140,0,0,298,0,0,0,0,205,181,0,99,117,53,228,0,266
0,0,0,0,0,53,0,0,183,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,226,0,193,14,202,69,231,0,0,270,129,261,160,217,13,0,0,208,235,1,177,107,0,289,297,263,245,63,19,56,207,0,0,235,64,81,32,156,1,292,259,78,11,0,267
0,0,0,0,0,183,0,0,0,0,0,143,267,0,0,0,183,160,63,245,0,0,0,0,0,0,0,115,0,51,0,0,231,0,0,0,0,0,0,0,206,0,0,206,0,51,231,0,143,25,0,0,231,0,222,221,106,139,71,144,0,12,0,163,51,11,27,280,10,3,132,0,0,0,0,0,136,104,73,259,169,209,214,241,45,0,235,0,225,0,0,78,102,0,0,0,0,130,0,0
0,0,0,0,0,0,0,136,0,0,0,0,139,136,0,0,0,0,0,0,0,0,231,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,229,202,0,0,0,0,36,0,229,0,154,0,64,0,254,0,122,190,149,0,183,168,0,0,10,0,242,160,0,2,3,231,207,214,19,146,227,169,231,294,231,0,242,35,0,0,71,0,0,226,0,0,27,247,0,0,0,121
0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,229,0,0,0,0,0,0,0,298,0,243,151,294,280,117,253,0,0,0,147,238,59,0,70,168,117,242,284,35,278,0,0,232,203,0,264,0,235,191,0,161,63,0,0,213,127,227,245,157,229,0,290,243,285,57,171,0,197
0,0,0,0,0,0,0,151,0,0,229,0,0,0,57,63,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,277,190,0,167,0,0,0,234,0,277,250,231,269,219,230,72,210,149,42,250,0,231,0,256,59,1,3,139,250,66,251,59,0,231,61,222,58,294,84,231,0,294,289,249,228,119,0,213,35,199
0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,213,0,0,0,0,247,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,252,231,0,0,285,0,290,259,290,231,247,229,0,7,14,0,0,0,197,219,0,0,0,0,0,58,167,218,0,149,0,286,180,35,0,0,0,0,149,0,139,232,59,0,0,237,231,0,145
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,272,236,12,251,96,116,7,218,294,282,0,288,0,48,0,0,0,203,244,26,288,0,0,236,0,1,226,213,231,99,282,7,208,201,0,190,14,254,48,0,0,127,0,0,80,7,68,0,0
0,0,0,0,0,218,0,0,7,0,0,0,0,0,0,0,0,26,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,246,246,0,0,226,0,226,0,0,0,231,249,14,0,0,193,0,172,79,0,0,159,0,68,242,0,219,14,252,13,0,50,167,290,119,9,0,236,20,79,229,0,194,118,230,198,236,262,81,285,152,0,228,99
0,0,0,0,0,0,9,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,85,58,144,85,0,246,0,0,0,144,161,0,91,0,16,240,1,89,0,291,224,132,199,273,291,7,0,0,0,234,178,143,0,0,154,1,0,16,156,117,150,117,153,75,51,0,234,299,0,263,183,230,0,299,268,0,24,198,0,254,4,108
0,0,0,0,0,0,1,0,0,0,9,85,0,0,16,144,1,0,0,0,0,0,0,140,5,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,106,0,4,142,2,4,291,69,254,267,0,270,278,252,273,0,0,197,250,0,86,152,44,289,206,207,101,0,10,262,267,0,282,0,269,0,264,285,0,14,97,294,29,131,98,194,42,92,105
0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,152,0,0,0,0,0,144,0,0,0,0,0,0,0,246,244,0,0,0,0,0,85,105,0,0,0,0,0,0,0,105,0,0,0,271,148,137,0,154,96,225,248,199,33,38,0,0,131,0,168,208,0,0,256,282,0,269,146,285,118,198,0,80,0,66,138,148,260,33,146,233,0,120,90,0,198,31,96,246,231,0,119,0,111
0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,154,0,0,146,7,7,69,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,135,291,144,278,0,24,65,10,0,130,71,241,0,119,14,0,13,170,0,25,0,251,292,88,179,11,0,0,0,1,292,137,278,0,208,150,35,9,72,91,87,67,0,107,60,231,123,247,0
