fits1,fits2,fits3,fits4,fits5,fits6,fits7,fits8,fits9,fits10,fits11,fits12,fits13,fits14,fits15,fits16,fits17,fits18,fits19,fits20,fits21,fits22,fits23,fits24,fits25,fits26,fits27,fits28,fits29,fits30,fits31,fits32,fits33,fits34,fits35,fits36,fits37,fits38,fits39,fits40,fits41,fits42,fits43,fits44,fits45,fits46,fits47,fits48,fits49,fits50,fits51,fits52,fits53,fits54,fits55,fits56,fits57,fits58,fits59,fits60,fits61,fits62,fits63,fits64,fits65,fits66,fits67,fits68,fits69,fits70,fits71,fits72,fits73,fits74,fits75,fits76,fits77,fits78,fits79,fits80,fits81,fits82,fits83,fits84,fits85,fits86,fits87,fits88,fits89,fits90,fits91,fits92,fits93,fits94,fits95,fits96,fits97,fits98,fits99,fits100
30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011
30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,30118.9404193011,28140.0233140153,28143.261573401,28107.0877151008,30118.9404193011,28148.2024121937,28516.6593412376,30306.9280616039,28472.3713983955,28147.430267818,30311.31321698,30118.9404193011,31161.0953016884,28289.2191272229,30118.9374080586,28138.7856665807,30118.9668096916,30118.9404193011,30118.8373157361,30118.9404193011,30123.8158142361,30118.9404193011,28126.594816154,28933.2431898506,28524.5651303768,29157.8983818028,30133.3193026136,30118.9404193011,30118.9404193011,28142.5525560549,28787.6448086793,30094.2583544827,29154.320227649,30035.764081262,28263.2410121094,31599.9762367677,28428.8856330125,30118.9404193011,30118.9404193011,30118.910831446,28127.935876547,30118.9404193011,30118.9288241364,28140.1307103706,28561.8405700876,28068.5158793156,30118.9404193011,29846.96778516,30108.3070708851,30133.2579809967,29382.2429272966
12968.5158793156,13007.0877151008,13026.594816154,13027.935876547,13038.7856665807,15018.9404193011,13424.5651303768,15018.9404193011,13833.2431898506,13687.6448086793,13047.430267818,13163.2410121094,12968.5158793156,15018.9404193011,15018.910831446,14746.96778516,15018.9404193011,13833.2431898506,13042.5525560549,13026.594816154,15018.9404193011,12968.5158793156,13284.6904170613,12968.5158793156,12968.5158793156,12968.5158793156,12968.4939717387,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,13044.2716703959,12968.5158793156,12968.5158793156,13040.2610210627,12968.5158793156,13041.805099024,12968.5158793156,12968.5158793156,12968.5158793156,13040.2446716752,15009.7620156846,15018.4115271328,15019.0683378715,16566.3482360241,15018.9404193011,13104.3426266651,15018.9404193011,13041.7331584703,13188.9689929145,14277.5354841701,13163.2410121094,13061.3932073223,13328.8486836927,15036.2075856713,15018.797467181,15018.9404193011,13037.4109021364,13163.2410121094,12976.1170765712,15018.9475494664,15018.9284871365,15018.9404193011,14005.0587328823,14057.8983818028,15018.5722738009,15018.9404193011,13085.2686138486,13488.4737179963,15018.940520083,15029.1396566724,13096.553510596,15018.9404193011,13007.0877151008,15018.9404193011,13047.7157663677,15019.0177228783,12975.7510493229,15018.9404193011,13235.1556369642,15018.9404193011,15018.9404193011,15018.9404193011,15044.5753819758,15019.2884471795,13489.3187850897,13003.1958190613,13038.7839675811,15018.9461240477,12984.1389343535,15018.9404193011,13012.9805929997,15081.0911969539,15018.7961638153,13040.6045653238,13035.5594321241
12968.4939717387,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,13035.5594321241,12975.7510493229,12968.5158793156,13096.553510596,13007.0877151008,13328.8486836927,13163.2410121094,12976.1170765712,12968.5158793156,12968.5158793156,12968.5158793156,12968.4939717387,13003.1958190613,13163.2410121094,13007.0877151008,15019.1860505509,12968.5158793156,13326.5434333926,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,12968.4939717387,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,12968.5158793156,13049.3488780919,12935.4162002153,13269.9085429151,12957.2878123244,12997.0284575074,12879.5123524719,13100.1748033554,13215.4713432646,13030.9312623203,13012.3302863068,13035.4690690596,12963.4699481346,13195.3452160752,12964.4326568555,12983.6200943791,13138.2823954496,12906.7853586323,15018.9453108719,13014.2191821149,12975.0787234364,13045.9827829062,12978.5335728236,13040.244301366,14273.1270088397,12971.7158716765,13027.705824641,13044.0069796827,13038.7837560332,13039.0140256837,12965.0757630652,13084.0484122983,16754.078710261,13221.8990674045,12968.5158793156,13215.937197806,13545.0103077516,13189.4324370015,13056.8156198748,12957.9730184009,14881.9659113264,12758.4227010606,13366.7782606702,13041.243594257,13328.4527644681,13040.1949198552,13058.8343886886,13188.2127614854,13197.1406896609,13061.0516192154,13417.4877080014
17158.4227010606,17279.5123524719,17306.7853586323,17335.4162002153,17357.2878123244,17368.5158793156,17368.5158793156,17365.0757630652,17368.5158793156,17538.2823954496,17335.4162002153,17458.8343886886,17368.5158793156,17368.5158793156,17368.5158793156,17368.5158793156,17427.705824641,17368.5158793156,17368.5158793156,17368.5158793156,17158.4227010606,17158.4227010606,17431.4929311041,17434.4795199941,17158.4227010606,17158.4227010606,17158.4227010606,17368.5158793156,17159.1946657161,17444.7221274708,17158.4227010606,17434.4795199941,17158.4227010606,17434.4795199941,17158.4227010606,17158.4227010606,17158.4227010606,17158.4227010606,17434.4795199941,17158.4227010606,17158.4227010606,17158.4227010606,17477.6773103747,17335.963986355,19418.9242678608,17477.8111325909,17477.8111325909,17477.8111325909,17376.1165861522,17158.4227010606,17311.8904044782,17435.067489828,17368.5158793156,17311.1690793273,17193.8158032263,19207.5830649475,19418.9404193011,17631.5111930412,17454.0730177882,17316.1620675606,17374.3803925124,17257.1656312539,17557.7160452183,17368.5158793156,17328.8439094781,20638.2114594775,17367.8247015465,17188.6717091852,17304.9050781762,17392.5936789465,17376.4185865118,17376.1170765712,17305.7447228522,17456.75181997,18163.5469033633,17441.0138807721,17370.4794269575,17375.2885535483,17461.2191711862,17438.4563986897,17459.104952206,17368.5158793156,17304.9254187521,17381.5013943292,19419.0382531594,17368.4939717387,17373.5285809025,17378.477697814,17439.4251986779,17368.5158793156,17370.5640981838,17233.0873496631,17370.2420048238,17347.0544264041,17381.7760076515,17430.9312623203,19418.9324792213,20606.8535090218,17368.5158793156,17399.3417007112
17158.4227010606,17158.4227010606,17158.4227010606,17158.4227010606,17158.4227010606,17158.4227010606,17459.104952206,17159.1946657161,17158.4227010606,17367.8247015465,17368.5158793156,17368.4939717387,17158.4227010606,17158.4227010606,17306.7853586323,17375.2885535483,17441.0138807721,17159.1946657161,17158.4227010606,17347.0544264041,17477.8111325909,17158.4227010606,17158.4227010606,17158.4227010606,17158.4227010606,17158.4227010606,17158.4227010606,17365.0757630652,17158.4227010606,17158.4227010606,17444.4835021106,17158.4227010606,17158.4227010606,17158.4227010606,17158.4227010606,17159.1946657161,17158.4227010606,17158.4227010606,17158.4227010606,17158.4227010606,17158.4227010606,17158.4227010606,17158.4227010606,17158.4227010606,17158.4227010606,17158.4227010606,17158.4227010606,17158.4227010606,17158.4227010606,17158.4227010606,17671.2376573629,17480.5197128721,17156.4203255089,17307.1509883461,17227.6494202779,17441.5327328063,17290.6555766854,17309.9614636872,17285.3024058915,17375.7783776572,17335.963986355,17359.1838617009,19207.2157175477,17625.0109550592,17445.2241139075,17385.1064184529,17675.907146781,17162.3708672264,17438.44818129,17156.5722436647,17166.2982644014,17126.761408816,17357.5434391532,17259.6765156388,17306.3266588902,17158.4269002436,17378.4900019377,17440.9217920705,18274.7895837629,17279.2947337455,17153.5434868351,17371.8077840471,17305.7447228522,17427.8762492304,17456.2963889398,17395.3830656585,17460.5551324574,17225.386400937,17180.5074992393,17174.5735866282,17209.9118384021,17452.8803620033,17592.8981189208,17142.2316711828,17156.7928917174,17211.6063131949,17439.1075836279,17415.4674181763,17596.6191751792,17158.5230649993
16326.761408816,16342.2316711828,16353.5434868351,16356.4203255089,16356.5722436647,16358.4269002436,16358.4269002436,16358.4227010606,16359.1946657161,16627.8762492304,16358.5230649993,16792.8981189208,16358.4227010606,16358.4227010606,16557.5434391532,16358.4227010606,16358.4227010606,16585.1064184529,16359.1946657161,16356.7928917174,16356.7928917174,16783.5536075419,16382.0426118491,16326.761408816,16633.532011352,16442.5019050372,16442.5019347273,16326.761408816,16333.7702196972,16442.5019347273,16442.5019347273,16326.761408816,16326.761408816,16443.3464919163,16371.3033828167,16535.963986355,16393.6701189941,16358.4227010606,16393.9688642428,16358.4227010606,16358.4227010606,16393.9688642428,16358.4227010606,16363.9876580415,16358.4227010606,16546.9933628341,16393.9688642428,16364.8428094572,16358.4227010606,16355.1823439955,16361.1267314384,16612.5536012133,16678.6954210733,20958.219207,16677.2069073801,16684.6822423631,17130.3634478724,16564.5575699211,16449.0914371127,16463.6380183493,17073.3113502963,17605.832993765,16654.1511360301,17056.7559919533,16604.5677639007,17100.5494769952,16645.4422286971,16456.0048657816,17118.9458480022,16692.5760091455,17324.6936057692,16686.204269728,16640.8018808248,17266.5461219861,16717.3481159293,16754.0158067388,16661.2650380723,16350.9435351813,16569.5325503385,16640.1461358631,17084.3365702903,16643.3962206355,16639.472983117,16519.1862481379,16438.3764555309,16665.9946102314,16683.7065199565,17183.3229298757,16729.3905795178,16639.947148994,17350.2387135456,16739.9434351487,16672.0894859954,16638.1089020352,16796.438914816,16581.3009246519,16454.063340388,17098.0592998037,16428.6461091621,16757.1037598596
16326.761408816,16326.761408816,16326.761408816,16326.761408816,16326.761408816,16358.4227010606,16355.1823439955,16665.9946102314,16358.5230649993,16358.5230649993,16361.1267314384,16428.6461091621,16672.0894859954,16442.5019347273,16585.1064184529,16358.4227010606,17073.3113502963,16428.6461091621,16356.7928917174,16359.1946657161,16421.9401751055,16359.3675607886,16435.1207820383,16326.761408816,16326.761408816,16326.761408816,16443.2581773485,16340.58895759,16326.761408816,16326.761408816,16326.761408816,16326.761408816,16326.761408816,16326.761408816,16326.761408816,16326.761408816,16326.761408816,16326.761408816,16326.761408816,16326.761408816,16326.761408816,16326.761408816,16326.761408816,16372.5579014466,16393.9688642428,16347.7812928339,16326.761408816,16326.761408816,16326.761408816,16326.761408816,16359.0427349322,16678.0390530813,16640.2586876145,16704.6998474073,16642.9077641533,16326.761408816,16511.0454930948,16369.1365346648,16326.217090691,16665.9946102314,16843.9710567786,16998.8173630438,16635.4550518404,16643.1627179184,16547.8602103585,16638.4357899581,17669.0789955499,16358.7165697824,16469.0057060427,16925.8498031318,16757.1037598596,16390.8648273041,16595.5383078243,16641.5907232436,16914.572405707,16358.4225754226,16388.9890172161,16360.6460004391,16684.7905259399,16443.3491494894,16685.6403579108,17342.4861278953,16686.1205810319,16608.1003984223,16462.5734940624,16326.761408816,16634.0748968179,16346.1479841435,16354.9174495206,16598.7619224426,16944.5583760721,16781.85184769,17350.9144337549,16479.7799694006,16389.7628722512,16465.9645982296,17308.1158009763,16453.0528566311,16406.6401093388,16929.4109309782
15126.217090691,15126.761408816,15126.761408816,15126.761408816,15126.761408816,15155.1823439955,15159.3675607886,15158.4225754226,15140.58895759,15126.761408816,15158.5230649993,15126.761408816,15160.6460004391,15159.1946657161,15126.761408816,15126.217090691,15190.8648273041,15504.6998474073,15161.1267314384,15155.1823439955,15146.1479841435,15126.761408816,15126.217090691,15126.761408816,15126.761408816,15126.761408816,15126.761408816,15126.761408816,15126.761408816,15126.761408816,15126.761408816,15126.761408816,15243.3491494894,15126.761408816,15243.3464919163,15126.761408816,15126.761408816,15126.761408816,15126.761408816,15126.761408816,15126.761408816,15126.761408816,15126.761408816,15126.761408816,15126.761408816,15155.4613593682,15126.761408816,15126.761408816,15126.761408816,15126.761408816,16882.6771978988,16010.5701737725,15480.9488380668,15560.0454245631,15341.5476826968,15203.4587021645,15437.3511198432,15447.5221083742,15730.0164798406,15303.219924845,15794.7583928555,15285.8650094818,15814.8028028843,15312.5255884157,15491.7666313491,16528.1827274984,15457.3050346856,15499.1845218622,15225.2411733472,15511.2730277706,15259.9431685979,15430.1923444294,15388.6190399047,16174.033663035,15467.882821155,15113.8898485301,15454.9352797295,15513.7855634941,15894.5130172303,15163.5834051434,15477.1104317244,15923.7398275555,15272.7704267881,15197.6942180454,15282.3073395992,15569.6659986538,16996.096321346,15775.1037380879,15701.4096681901,15444.2257922231,15430.6852653641,15198.6807381067,15454.2004387453,15374.4052767158,15738.331149024,15436.7842571187,16105.8939404053,15469.9676282676,15476.5803848853,15438.5682463445
18013.8898485301,18026.217090691,18026.217090691,18026.217090691,18026.761408816,18059.3675607886,18026.761408816,18026.761408816,18055.1823439955,18026.761408816,18241.5476826968,18026.761408816,18026.761408816,18026.761408816,18026.761408816,18055.1823439955,18026.761408816,18026.217090691,18026.761408816,18013.8898485301,18093.4980634311,18041.0004252273,18027.1635035733,18018.9581818753,18018.9581818753,18033.0853736934,18018.9581818753,18044.5669193375,18243.8339645477,18026.761408816,18026.761408816,18040.58895759,18026.761408816,18040.58895759,18026.761408816,18026.761408816,18026.761408816,18351.1637578129,18040.58895759,18040.58895759,18026.761408816,18026.761408816,18013.8898485301,18046.1479841435,18026.217090691,18072.5770561505,18034.8175205148,18093.9688642428,18040.58895759,18029.455084283,20080.1927793976,19097.5008202866,19049.4909609124,18268.0777559295,18786.373255847,18372.1498705904,18059.1819132723,19335.2058986377,18287.7154521503,18317.1818340581,18071.3314561272,18148.0399480967,18327.8578683216,18156.3166655934,18203.4468081483,18318.0996806455,18507.3790381663,18299.3925856924,18069.9073056152,18480.2595315863,18103.8999109794,18342.2308496172,18077.6440278776,18153.7571683295,18211.8213675911,18168.5747426339,18341.7945425738,18390.3298445054,18078.8400132881,18537.2112038609,18052.191633229,18199.9312295464,18343.7848726257,18141.2409925317,18016.8797285024,18084.5107490192,18322.1545890816,18238.9603891921,18332.7922300215,18032.6544439338,18030.1863554684,18325.4782429954,18106.7337856485,18152.9063968845,18117.6806520207,18068.0137336683,18154.8468299364,18337.8635733352,18281.1176418499,18085.9111545775
