Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100
0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,32,0,777,0,369,54,14,981,0,0,0,0,0,0,930,5,529,0,0,0,0,26,0,53,954,947,0,908,0,0,0,0,41,943,0,941,0,0,0,990,0,0,64,0,11,959,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,398,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,157,0,42,0,0,0,74,980,0,0,20,0,0,0,0,0,0,0,0,0,7,0,0,938,0,0,18,970
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,18,0,140,0,21,890,2,793,0,0,419,982,0,0,0,603,0,0,909,0,0,991,978,971,23,10,0,0,956,955,688,139,0,969,0,0,0,0,0,966,836,0,0,739,0,0,38
0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,273,942,0,119,933,82,887,278,0,493,0,968,351,0,984,0,971,0,0,731,974,0,95,0,0,983,0,0,989,0,50,0,0,964,0,419,958,911,25,967,0,979,951,974,10,0,0
0,0,0,0,0,0,0,0,0,0,0,0,971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,951,857,0,0,33,0,0,965,974,0,962,0,0,0,0,0,0,478,979,967,0,0,770,0,0,0,911,0,0,973,0,989,0,877,9,272,277,491,980,0,0,0,0,0,0,265,0,983,943,364
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0,835,987,45,65,0,0,0,75,0,0,0,0,557,0,0,0,116,93,0,0,0,0,19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,966,0,0,21,0,777,17,880,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985,0,78,0,0,78,0,932,75,982,0,773,62,0,0,0,0,350,0,0,120,0,881,0,0,0,0,14,965,82,0,973,0,0,0,8,703,69,0,885,0,980,0,964,942,0,0,71
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,991,0,982,0,0,917,0,0,951,0,0,937,246,13,5,0,0,0,0,0,0,767,0,0,27,83,0,0,0,0,969,0,134,0,0,408,33,848,0,0,0,893,974,0,0,967,0,0,24,790
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898,0,0,0,0,42,0,30,0,23,0,0,0,0,949,69,0,967,0,0,0,0,26,0,32,100,0,0,4,985,974,0,10,0,25,0,982,32,0,0,30,26,449,972,0,0,0,838,0,976
0,0,0,0,0,0,0,0,0,0,0,0,0,967,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983,0,851,0,0,21,0,0,0,0,246,0,981,0,0,977,52,0,68,0,4,0,140,0,143,174,614,968,329,933,0,782,0,0,917,0,969,0,0,5,969,969,49,421,32,902,0,32,16,88
