Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100,Var101,Var102,Var103,Var104,Var105,Var106,Var107,Var108,Var109,Var110,Var111,Var112,Var113,Var114,Var115,Var116,Var117,Var118,Var119,Var120,Var121,Var122,Var123,Var124,Var125,Var126,Var127,Var128,Var129,Var130,Var131,Var132,Var133,Var134,Var135,Var136,Var137,Var138,Var139,Var140,Var141,Var142,Var143,Var144,Var145,Var146,Var147,Var148,Var149,Var150
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634,1291,896,0,0,0,0,0,0,0,0,0,1275,0,0,0,0,1196,0,1283,0,1023,0,0,0,0,793,0,1294,0,0,42,0,1248,0,0,0,0,1287,1281,0,0,0,0,0,1234,0,0,1287,0,0,0,0,1224,0,0,0,0,0,0,1191,81,0,0,0,1275,0,0,0,0,917,0,0,0,1211,1276,0,0,0,0,0,0,1164,0,0,0,824,0,0,0,0,1163,0,0,0,477,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,0,0,0,1238,0,1182,0,0,0,1254,1274,649,0,1184,0,0,44,0,1228,0,0,1295,493,0,958,0,0,0,0,0,0,0,0,0,1286,0,0,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1112,0,0,0,0,0,1149,0,0,1274,0,0,0,857,0,1006,1269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,0,0,1210,0,0,0,0,1173,0,0,0,0
0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0,1259,0,0,894,0,0,0,0,0,0,0,0,0,0,0,1110,0,0,744,0,0,1083,0,0,1107,1289,1238,0,241,1255,0,0,1275,0,0,0,1211,0,812,0,0,894,984,0,1284,0,0,0,692,0,509,0,0,0,0,1268,0,1023,0,730,0,0,1176,500,269,0,1071,0,0,0,0,0,0,0,0,0,0,970,0,1248,0,1261,0,0,1057,41,1224,920,0,0,0,0,0,1274,1087,0,287,1286,710,0,0,0,0,0,0,128,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279,0,0,219,0,0,1124,0,0,0,0,0,0,0,0,120,0,0,1216,0,0,0,0,0,0,0,0,0,617,1296,0,1296,1296,1297,1217,0,1012,1276,0,0,0,0,0,0,1252,1214,0,144,0,0,0,0,0,1244,0,0,0,1292,0,0,0,757,0,527,0,0,0,0,850,1132,1254,485,1283,0,0,0,0,0,0,0,0,0,1298,129,0,1180,0,0,1287,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1242,0,0,0,0,0,1268,0,807,0,1158,0,1295,1249,307,0,0,1145,0,0,1282,0,0,0,1133,0
0,0,0,0,0,0,0,0,0,0,307,0,0,0,1242,0,0,0,0,0,622,0,0,0,1291,0,0,0,0,0,1292,0,1280,0,0,0,0,932,0,0,0,740,1037,1042,0,0,0,0,0,0,0,1298,1270,0,0,0,509,487,0,0,1263,1203,1057,0,0,0,0,1289,1226,0,0,0,0,0,0,1230,130,0,0,0,0,0,1265,1105,0,0,1212,1242,1136,0,0,1057,894,1293,1178,0,0,0,0,0,1015,737,0,0,1199,0,0,1294,578,1257,1281,1264,0,0,0,1293,1232,0,715,1233,0,0,636,0,0,1295,1176,1265,1298,0,105,406,0,0,0,734,1225,0,0,0,0,0,0,0,1269,0,632,0,565,1169
0,0,0,0,0,0,0,0,307,0,0,894,0,0,578,0,0,632,0,0,1122,0,0,1079,0,1283,0,0,419,0,0,0,0,620,0,1198,0,578,0,0,1296,0,877,0,0,216,0,352,0,1273,0,0,1299,0,0,0,0,0,0,1247,0,1176,0,0,1273,0,0,1282,0,168,0,1160,0,0,1064,0,0,0,0,0,0,0,641,0,0,1257,0,1235,15,530,1036,1299,0,840,0,0,1274,1271,1265,413,0,626,0,0,0,3,0,0,0,962,930,0,0,0,993,282,0,1284,0,0,974,1288,0,0,778,0,0,0,0,1292,0,0,0,0,0,0,1297,0,0,0,1156,0,38,879,0,0,0,0,0,0
0,0,0,0,0,1064,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,1050,1290,0,0,1257,687,1121,0,0,0,0,0,0,0,1238,0,0,1081,0,0,0,0,405,0,1277,0,0,0,0,0,871,604,0,0,0,0,0,0,0,0,0,170,0,0,0,0,556,0,0,0,13,0,0,0,0,0,0,0,1137,0,1097,1124,0,0,0,0,0,1045,0,0,0,0,586,0,0,0,0,0,0,1088,0,0,0,0,1149,0,1064,0,3,0,868,0,0,0,1299,0,0,1062,0,0,0,0,1295,0,0,0,0,0,0,0,0,1087,0,1044,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296,1238,0,0,0,0,431,0,1284,0,0,0,1184,0,0,0,0,1141,0,0,0,1270,1299,0,0,737,1249,0,0,1251,0,0,0,0,466,0,1138,0,637,23,0,0,463,1220,0,1194,0,0,0,0,0,745,0,0,0,0,0,1269,1121,82,1298,1150,0,0,0,0,0,896,0,0,418,1185,0,0,0,1199,0,771,0,0,1050,0,0,642,0,959,0,609,0,985,1269,0,1076,76,165,0,0,994,543,919,1034,0,637,0,0,0,0,0,0,1093,1272,57,182,0,881,758,1058,0,599,0,1291,0,0,0,1296,0,0,1297,562
0,0,0,0,0,418,0,758,0,0,0,0,0,0,0,0,0,0,0,543,0,1290,1033,0,554,138,0,0,0,0,739,1224,1171,0,1242,0,0,0,1194,0,1275,0,1162,0,1222,0,124,0,0,0,0,0,0,0,0,645,1277,0,1209,0,0,1070,0,0,0,0,0,0,1167,0,0,932,0,0,0,0,266,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,270,1290,0,0,0,376,1293,1199,0,0,0,0,392,0,0,0,0,0,0,0,0,0,0,990,0,1221,0,0,1239,0,0,0,0,0,0,0,0,0,0,850,1218,1297,0,0,0,43,1278,0,0,0,0,0,0,0,0,0,0,781
0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,0,0,0,0,543,0,1238,631,1285,0,0,0,60,0,1209,0,0,0,0,493,0,2,1172,704,1116,0,78,0,1245,0,0,0,720,0,0,0,0,0,0,0,0,985,0,0,1258,0,0,0,0,1050,0,0,1202,1289,0,0,1215,0,0,1296,0,0,0,1299,0,0,0,0,1299,0,0,0,0,0,1077,0,0,1298,0,0,1299,0,0,1038,1067,1260,1118,1068,1289,1299,0,844,0,0,0,0,1205,0,0,1259,0,935,1249,0,0,1289,1136,1247,0,0,0,0,0,1162,1243,158,1231,0,0,0,0,0,0,0,0,702,0,346,786,1220,0,0,499,0,0
0,0,0,0,0,0,0,0,0,0,0,0,844,60,0,0,0,0,0,0,1066,1109,1242,0,0,0,1299,0,1160,902,0,0,0,0,971,0,4,0,1289,0,0,1295,0,0,0,0,0,0,0,0,0,1228,0,1297,0,31,0,41,0,0,988,1272,1157,0,0,0,0,0,1253,0,0,0,0,798,0,1118,478,1040,0,0,1237,0,550,0,1063,0,0,1273,0,1281,135,0,1249,1044,0,0,340,0,0,0,1244,0,78,1268,0,0,0,0,194,0,1048,131,1278,0,0,0,0,706,1244,0,0,0,1123,0,0,0,95,0,0,0,0,7,0,0,1275,0,0,0,1067,0,0,0,247,0,1286,1102,0,0,0,1255
0,0,0,0,0,0,0,95,0,0,0,1044,0,0,0,0,0,0,0,0,7,1019,246,1227,0,0,778,0,0,336,0,0,0,482,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898,0,0,0,928,1269,0,1248,0,0,0,0,0,0,1083,1283,0,1299,0,0,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197,1108,916,1213,0,1145,0,0,0,1001,0,0,0,369,762,1291,196,0,0,0,0,0,0,1254,0,1222,0,0,0,0,85,13,0,0,0,0,0,1200,1199,0,0,934,0,0,0,0,0,0,0,0,1253,0,1281,1259,0,0,0,0,0,67,0,1232,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270,1282,1220,1257,0,1299,0,0,1204,0,0,1248,0,0,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,797,0,1284,0,1231,0,0,0,0,1236,0,0,0,0,1280,1268,1240,0,0,1278,0,0,1283,0,2,0,1284,1118,0,1281,1104,0,1238,825,1296,0,0,0,1290,1296,38,1265,0,0,915,1290,666,0,0,1268,328,1226,1194,0,0,1297,0,1166,1043,0,12,958,0,1283,0,0,1175,0,0,0,0,1297,1293,1020,0,862,1168,0,0,904,0,0,0,0,1299,0,1009,1094,1234,1125,0,0,1209,538,1284,539,1293,99,1281,0
0,0,0,0,0,0,0,0,0,1240,0,0,0,0,0,0,0,0,0,0,1180,1024,0,0,1260,1245,0,0,1197,0,1137,235,1200,0,0,0,0,0,0,0,0,920,0,0,1064,0,0,0,294,0,0,0,19,781,373,0,0,1237,182,0,0,1298,0,769,0,1297,1221,1138,1026,1068,0,0,0,1185,1298,0,597,968,0,0,0,0,0,308,1281,1223,1089,19,559,0,0,1278,0,1176,0,1296,0,1295,0,1201,1291,747,1193,299,1041,0,1298,4,1095,0,889,0,0,466,1039,2,0,0,1080,1236,1160,1291,0,1287,0,0,976,0,0,1039,889,0,1297,0,1289,0,0,0,0,202,0,745,1201,0,1171,1291,0,0,88,404
0,0,0,4,0,0,0,0,0,0,373,0,920,19,0,0,0,88,920,0,1275,343,1275,0,1012,1185,894,1266,0,0,0,0,0,34,0,771,0,0,1245,1182,1059,1257,0,0,762,0,1260,0,1245,0,0,0,0,1280,0,1159,1179,0,0,0,0,0,1162,0,1277,0,1299,1200,422,1298,1207,0,1297,0,1292,1229,1285,0,1297,0,1056,1284,0,0,0,0,1116,0,0,0,1281,3,1296,0,1062,1218,1214,848,1260,0,1194,0,1260,0,1212,0,1083,1185,0,0,1036,588,0,27,1261,547,0,0,0,1271,0,125,1270,0,233,0,1296,1042,0,1267,18,1195,443,900,0,0,1145,1292,1295,1260,1225,0,1274,0,1281,271,0,1298,49,0
0,0,0,0,0,0,0,0,422,0,0,0,0,848,0,88,0,0,0,0,24,700,1125,1239,959,1266,0,0,0,1174,0,0,0,0,0,0,0,0,1083,4,0,0,0,0,0,0,0,0,0,0,1105,0,0,0,0,0,836,0,0,0,70,1298,72,1292,0,70,0,1114,1190,1148,0,0,0,1091,1264,0,1292,0,0,1026,0,691,0,0,0,1225,1224,0,1273,0,0,1299,0,938,1223,916,0,261,0,0,1098,0,0,1284,1294,0,88,1110,0,0,503,0,0,1072,0,1152,16,0,0,1299,0,0,0,0,1270,0,1226,0,0,1247,608,0,0,0,0,1228,38,5,191,0,0,0,467,0,0,0,1112,0,1098,0
0,0,0,0,0,1247,0,0,0,1298,0,0,0,0,88,0,0,0,0,1098,0,164,1294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1104,0,1274,0,60,0,1283,1278,1205,0,0,0,0,1297,1207,0,0,294,0,0,0,0,779,0,0,354,1232,12,926,804,61,0,220,0,957,1145,0,0,0,0,1282,1190,0,0,1227,1254,0,0,1179,558,881,10,0,93,0,1104,0,0,1282,285,1278,0,1132,0,1148,0,1255,885,0,0,1178,0,177,1298,0,0,0,0,1041,0,0,0,0,0,0,0,1135,1299,1179,0,0,0,0,1255,0,480,1249,0,0,0
0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,1294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955,10,1260,0,0,682,1209,1253,0,281,1255,15,1231,1110,1095,0,1116,0,0,0,0,1236,1180,1279,42,1241,0,0,585,0,0,0,823,1245,0,1189,1268,0,0,0,316,0,0,0,1299,1152,1273,0,0,0,1248,0,0,0,1288,1286,1223,0,1125,85,0,9,1227,1089,0,0,777,0,0,0,0,1251,0,0,1048,0,1088,1281,1185,1282,1279,113,0,1274,0,0,0,1158,0,1224,1275,0,1195,0,1269,0,0,1248,1044,1298,0
0,0,0,0,0,316,0,1231,1268,0,0,0,0,0,0,0,0,0,0,0,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203,0,0,1183,1082,0,0,0,1168,1284,1234,0,0,1271,1283,1113,972,0,0,0,1192,0,0,0,1256,688,0,0,83,0,1007,950,0,0,769,0,1268,0,0,0,870,0,0,1006,0,0,1185,0,0,0,0,1119,0,1155,0,1282,1268,272,1164,1051,0,0,0,1023,966,0,0,0,593,1152,988,0,0,1128,0,0,1281,887,1078,0,0,1164,0,0,0,0,801,1236,1269,0,1206,0,1235,0,0,1251,0,1275,170
