Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100,Var101,Var102,Var103,Var104,Var105,Var106,Var107,Var108,Var109,Var110,Var111,Var112,Var113,Var114,Var115,Var116,Var117,Var118,Var119,Var120,Var121,Var122,Var123,Var124,Var125,Var126,Var127,Var128,Var129,Var130,Var131,Var132,Var133,Var134,Var135,Var136,Var137,Var138,Var139,Var140,Var141,Var142,Var143,Var144,Var145,Var146,Var147,Var148,Var149,Var150
634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784
634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634846.476238793,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.595592487,634525.806870308,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634221.249924394,648605.618480564,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,714822.862570923,634539.593357269,634521.562965784,634521.562965784,634696.135415726,634521.562965784,634451.778005269,634521.562965784,634398.583209313,634521.562965784,634521.562965784,758088.280275365,634521.562965784,634521.562965784,634195.890721829,634521.562965784,634521.562965784,634528.214203429,634521.562965784,634521.562965784,8298442.64833775,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,28096650.29796,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634977.104396651,635301.14223117,634521.562965784,634551.528367977,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,8697592.74430688,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,633275.28872413,634521.562965784,20091439.2573581,634521.562965784,634521.562965784,634521.562965784,1862074.22179863,634521.562965784,634521.562965784,9570374.70275933,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,637160.22905547,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784
633275.28872413,634195.890721829,634221.249924394,634398.583209313,634451.778005269,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,633275.28872413,633275.28872413,633275.28872413,633275.28872413,633275.28872413,633275.28872413,633275.28872413,633275.28872413,633275.28872413,633275.28872413,633275.28872413,634521.562965784,633275.28872413,633275.28872413,633275.28872413,633275.28872413,633275.28872413,633275.28872413,633275.28872413,633275.28872413,633275.28872413,634521.562965784,633275.28872413,633275.28872413,634521.562965784,633275.28872413,633275.28872413,633358.125992213,634441.315271145,633275.28872413,634521.562965784,634521.562965784,653319.534324593,634521.562965784,634521.562965784,634507.831357353,634521.562965784,634521.562965784,634521.562965784,633339.767454155,634521.562965784,634521.562965784,823478.153854619,634521.562965784,634521.562965784,634521.562965784,634521.818888636,634521.562965784,633732.983964491,634521.562965784,634507.204141521,634521.562965784,634521.562965784,634502.982376509,634221.779361611,634521.562965784,634521.562965784,668519.051234996,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,659615.758638454,634521.562965784,784472.181151796,634521.562965784,615355.564042021,634521.562965784,634457.920384799,634521.562965784,634521.562965784,633262.204339493,634521.562965784,632827.343472843,634530.173983143,633276.13015876,634452.593328467,634521.562965784,636414.943152381,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,633275.28872413,25482233.5262208,634521.562965784,634521.562965784,641402.892887722,634521.562965784,634521.562965784,642812.514445694,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,637565.938199518,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634429.050127055,634521.562965784,616129.262471977,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,633275.28872413
615355.564042021,616129.262471977,632827.343472843,633262.204339493,633275.28872413,615355.564042021,634521.562965784,634221.779361611,634398.583209313,633275.28872413,633275.28872413,634521.562965784,634521.562965784,633275.28872413,634521.562965784,634521.562965784,633275.28872413,634521.562965784,634521.562965784,634502.982376509,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,615355.564042021,633724.847224153,633482.864244058,633403.238655656,633541.500257395,633291.973706717,633206.915566085,634521.562965784,633276.13015876,608016.56550118,633633.127137944,634521.562965784,634521.614658851,633275.28872413,634521.562965784,635251.683847395,634521.562965784,634521.562965784,634521.562965784,634632.425250452,632961.815260232,634521.562965784,634521.562965784,633844.995964514,632625.965472348,634322.388440072,634521.562965784,640617.343858782,633252.908035721,612624.513041832,640504.562694934,634626.448496678,634521.562965784,633180.073752149,633072.161876828,634521.562965784,698417.183102348,634521.562965784,634527.060366908,634521.562965784,634521.562965784,631421.104184036,634521.562965784,633233.01863021,634293.66949105,638027.589830128,634521.562965784,634651.661154175,632856.127842297,634521.562965784,634597.618975525,667052.570059368,634521.562965784,634521.562965784,463419.612627851,635748.344548207,816846.267081943,634521.562965784,634521.562965784,634521.562965784,632014.726733647,635233.903763506,634845.781549951,634521.562965784,614471.535194537,634521.562965784,634521.562965784,634521.562965784,633444.206830181,635146.080568945,618740.125119214,186497.445950258,624060.87375463,28271252.4342934,634521.562965784,634521.562965784,1474817.24284567,636905.538881549,615739.094705803,634499.23326844,628248.082723873,602564.221149588,631388.497199783,614000.513830682,634521.562965784,634586.434076085,3700500.95589307,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,625514.033360819,633380.389494673,634521.562965784,628432.15523908,634521.562965784,753254.894858805,856336.604063983,634521.562965784
186497.445950258,463419.612627851,602564.221149588,608016.56550118,615739.094705803,633444.206830181,615355.564042021,634322.388440072,615355.564042021,634521.562965784,634521.562965784,602564.221149588,631388.497199783,615355.564042021,634521.562965784,634521.562965784,615355.564042021,633724.847224153,615355.564042021,614471.535194537,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,633275.28872413,615355.564042021,634521.562965784,631388.497199783,634586.434076085,633444.206830181,615355.564042021,633275.28872413,615355.564042021,615355.564042021,615355.564042021,634322.388440072,633252.908035721,633329.995690937,633262.204339493,633275.28872413,633233.01863021,633233.01863021,615355.564042021,633263.826240598,633206.915566085,633104.268841332,634521.562965784,633262.204339493,634521.562965784,634404.690656842,633262.204339493,615355.564042021,615355.564042021,633403.238655656,634521.562965784,633633.127137944,615106.24240172,614315.396649593,633233.01863021,634521.562965784,628432.15523908,632827.343472843,625514.033360819,633262.286725194,615355.564042021,634076.548691305,634521.562965784,615355.564042021,634586.434076085,632856.127842297,607992.072149632,630950.402009089,634521.562965784,633724.847224153,634521.562965784,1254945.96925591,634521.562965784,621303.255242869,536359.37221387,659261.464931135,634521.562965784,619533.165907433,634521.562965784,634521.562965784,653224.441136953,634521.562965784,25218686.2556037,634445.24571697,631762.120414389,634521.562965784,629860.907360976,634769.566073128,694282.926440724,567822.993871668,634521.562965784,32779235.0613876,634521.562965784,655261.544883576,652370.142076982,634030.03005074,633724.847224153,634521.562965784,634521.562965784,651614.153822136,5398676.0882146,624907.260318044,623173.14296464,634521.562965784,613635.892954246,634521.562965784,561939.175112993,637693.963500947,634521.562965784,634521.562965784,634521.562965784,634521.562965784,564858.574125957,1315412.58450329,634521.562965784,473498.427128758,634929.267827404,2638771.1377547,21702870.9326467,634521.585113406
186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,634521.562965784,614471.535194537,633252.908035721,186497.445950258,633262.204339493,607992.072149632,186497.445950258,633262.204339493,186497.445950258,614315.396649593,633233.01863021,633263.826240598,186497.445950258,634404.690656842,634521.562965784,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,633461.321588191,181219.922251907,821895.076518123,240800.314367704,606007.669050372,215264.043221389,633623.833207825,629792.601075063,621460.146661114,615485.447371462,645932.759562009,161541.528451022,293915.651651645,634521.562965784,202570.11754755,634521.562965784,621742.188691001,406269.69791975,615843.012645735,172900.736813979,634521.562965784,636127.760040587,634521.562965784,604608.940011199,613571.176189522,548827.471685595,628380.259493575,184121.900725661,205316.153555268,634521.562965784,632218.334410807,634521.562965784,634521.562965784,474142.114556018,178198.822902135,239265.390521171,662435.755204893,634521.562965784,224872.136410369,633756.795771466,633018.50720843,633672.79193281,263524.746228297,572765.954017769,634187.913066235,193128.102348036,656911.520672294,633203.927074492,490008.06910398,147505.811208071,633262.286725194,585551.292454783,609998.991758831,186497.445950258,614315.396649593,633263.826240598,633599.645426765,634982.784045129,329112.320762541,632728.671073226,646746.587021885,555183.423340734,634521.562965784,200696.558320706,650191.707180482,635648.738449491,186497.445950258,95316.5008070613,615355.564042021,634717.682299121,186497.445950258,631388.497199783,634521.562965784,624907.260318044,218626.549695141,186497.445950258,677642.048586844,186497.445950258,633104.268841332,615355.564042021,92826.6689933232,175624.531263476,186497.445950258,6604459.16503654,186497.445950258,186497.445950258,615355.564042021,186497.445950258,69995.4907314966,610285.236230436,186497.445950258,133805.866745605,186497.445950258,301669.495617538,723148.942660757,635970.304259631,630865.31774683,615355.564042021,186497.445950258,746205.535612982
69995.4907314966,92826.6689933232,95316.5008070613,133805.866745605,147505.811208071,633262.204339493,614315.396649593,490008.06910398,490008.06910398,239265.390521171,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,186497.445950258,585551.292454783,186497.445950258,175624.531263476,293915.651651645,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,186497.445950258,135274.070926279,609998.991758831,186497.445950258,186497.445950258,633672.79193281,186497.445950258,186497.445950258,90786.4761633523,239265.390521171,635648.738449491,176879.827609667,92826.6689933232,186497.445950258,94651.6080178843,609998.991758831,181219.922251907,281026.474898728,186497.445950258,186497.445950258,186497.445950258,186497.445950258,133805.866745605,185454.725900967,178198.822902135,633672.79193281,633164.100321081,615355.564042021,610285.236230436,176893.700571885,632218.334410807,240800.314367704,606007.669050372,548827.471685595,187003.957124987,634521.562965784,186497.445950258,151711.951478572,186497.445950258,184121.900725661,186497.445950258,160864.090427464,147505.811208071,186497.445950258,186325.870596719,186497.445950258,615355.564042021,156711.699986895,621541.644217224,206190.531380241,23057597.961709,634521.562965784,215388.640601368,275719.759400309,649976.53210915,266097.771225527,625928.060949157,615485.447371462,201362.850758607,632869.165668735,186497.445950258,239265.390521171,200696.558320706,186497.445950258,216667.870654979,613571.176189522,613571.176189522,409667.680117662,224872.136410369,133731.562204436,634779.933162431,290113.293679163,159963.471823462,106749.173816327,495272.699285103,633104.268841332,186497.445950258,181219.922251907,201624.112358186,606007.669050372,633263.826240598,141687.81319856,346016.856357585,144599.420965852,83486.7321289741,479374.697473605,95316.5008070613,186497.445950258,699099.39998565,1062712.29007501,175429.112281457,634521.562965784,110754.815888961,274608.173927907,176508.642509146,161075.150757688,635432.182114349,186497.445950258,615355.564042021,111664.731463624
69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,92826.6689933232,490008.06910398,186497.445950258,69995.4907314966,133731.562204436,69995.4907314966,69995.4907314966,239265.390521171,69995.4907314966,133805.866745605,69995.4907314966,69995.4907314966,409667.680117662,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,69995.4907314966,161400.559664453,248244.529328881,72535.5044582796,616863.677419167,216667.870654979,220770.315756602,98266.4556468222,609722.026797647,490468.115823976,70033.7865121705,409667.680117662,69995.4907314966,182092.381754872,472761.050344975,184280.694210664,185156.388307903,69582.0167588376,147505.811208071,186497.445950258,186497.445950258,69995.4907314966,95769.8281651999,69995.4907314966,69995.4907314966,69110.1604657526,243605.336891899,175890.573910588,99828.941348347,69995.4907314966,69995.4907314966,70973.0001492193,69552.4536570615,70070.4235843556,223016.223088349,186497.445950258,159963.471823462,83472.0882239951,275436.012521217,186497.445950258,186497.445950258,68998.1209392199,69995.4907314966,69295.0319625078,70527.5097520448,96864.3580121001,201624.112358186,186497.445950258,183063.77083977,100373.299129086,69795.6905676684,69995.4907314966,69995.4907314966,69995.4907314966,280612.259531011,69995.4907314966,96436.0852381391,67251.0743396977,152980.438091212,663216.046487212,69995.4907314966,123653.35161652,614229.434676973,630274.807945818,259273.239786777,69995.4907314966,232552.277363527,179860.970627829,122805.134934207,310801.885475458,141687.81319856,643038.256646235,2169541.79012637,71310.9746673245,133941.826796144,688354.726188295,207446.958458033,69995.4907314966,303259.144234751,83201.6782121298,419265.783710935,624370.743550927,634521.562965784,659387.901056898,689944.534945475,186497.445950258,69995.4907314966,89344.8535469514,459960.402325611,262004.887147422,213811.190734567,626304.15611321,149011.434197327,133731.562204436,222699.730803468,103593.252316817,186844.158943422,119629.646913275,133483.658643218,167986.949552144,211718.912664482
67251.0743396977,68998.1209392199,69295.0319625078,69110.1604657526,69582.0167588376,69995.4907314966,69995.4907314966,186497.445950258,69995.4907314966,69995.4907314966,69552.4536570615,68998.1209392199,69995.4907314966,69995.4907314966,70527.5097520448,69995.4907314966,133941.826796144,185156.388307903,133805.866745605,186497.445950258,67251.0743396977,67251.0743396977,67251.0743396977,67251.0743396977,67251.0743396977,67251.0743396977,67251.0743396977,67251.0743396977,67251.0743396977,67251.0743396977,67251.0743396977,67251.0743396977,65952.0936403958,67251.0743396977,67251.0743396977,67251.0743396977,67251.0743396977,67251.0743396977,67251.0743396977,67251.0743396977,67251.0743396977,67251.0743396977,67251.0743396977,67251.0743396977,67251.0743396977,67251.0743396977,65952.0936403958,67251.0743396977,82628.1751599473,82628.1751599473,272471.546230033,607354.433115745,71108.7242847391,234640.392700488,96896.3058193932,2146494.82142343,92478.1514474403,72893.0203321153,69968.7074968408,109165.846262181,70687.7897573189,70034.0205838723,96238.9523494305,155173.934840194,91145.3194703996,227147.763269309,72009.2533959528,89821.0641581431,97119.6240797464,134639.376045613,73155.0330243366,115112.206259661,69800.1270525848,113880.760049812,69995.4907314966,205277.067311482,108287.575841804,71730.2963109696,183925.740485815,184960.396415329,370126.830096052,173236.343338856,133412.168744245,96907.8962196941,255153.794356373,89712.5985626933,70740.0426124644,153726.38947197,81869.8972927587,71597.0434852003,91236.3754520526,80668.9632116954,114903.184440903,71525.1320416021,92006.6343189853,142107.887815899,241816.542011968,84703.4530621964,71316.71697581,181403.719013392,80918.3518379071,392742.624291234,81914.7535340595,643508.873907337,691528.708258376,73907.0794803386,163906.555268682,456867.077737918,138863.588852725,93331.363797172,172917.090460939,627051.088315532,528682.895244146,1258771.53326295,686911.527758148,62847.5029600459,2051505.55928132,463916.127490557,175479.074122669,641101.168945579,644033.977174212,78633.5861711785,87055.2306696312,92056.5765896072,118764.027970177,94576.1949618685,97675.3134452278,681744.203395804,105782.873211073,634432.512169649,68235.8947258178,441362.739525792,235281.502572768,318622.06816777,634143.987973026,80745.9223946822,634521.562965784,95709.57860561,1046619.10087438,80815.2403071877,4110469.60452459,708526.236467794,96036.8575620827,552846.647975483,200126.840169563,633084.613545236,207662.978320037,116504.110644932,513433.350178656,478847.15500749
62847.5029600459,65952.0936403958,65952.0936403958,67251.0743396977,67251.0743396977,67251.0743396977,73155.0330243366,67251.0743396977,67251.0743396977,67251.0743396977,67251.0743396977,185156.388307903,92006.6343189853,114903.184440903,80745.9223946822,72893.0203321153,73907.0794803386,67251.0743396977,69968.7074968408,318622.06816777,62847.5029600459,62847.5029600459,85267.4257281339,62847.5029600459,62847.5029600459,62847.5029600459,62847.5029600459,62847.5029600459,62847.5029600459,62847.5029600459,62847.5029600459,62847.5029600459,62847.5029600459,62847.5029600459,62847.5029600459,62847.5029600459,62847.5029600459,62847.5029600459,62847.5029600459,62847.5029600459,62847.5029600459,62847.5029600459,62847.5029600459,62847.5029600459,62847.5029600459,62847.5029600459,62847.5029600459,62847.5029600459,62847.5029600459,63973.3338664141,75391.3810442904,68343.9328144449,105744.048032857,68534.8001678217,66596.2310931137,93236.5612934032,83277.8404139577,66448.2571698907,85715.6104754589,131819.873902788,136882.696356606,152332.843887773,70813.2527300094,81769.8503357474,77795.7647033256,67358.2113505054,75874.3851467893,185866.935138223,151660.727376573,97747.0578649786,75801.8105359976,65951.9897540095,71210.6056492627,126029.450668592,79588.4873456801,69436.7774711875,66448.2656627858,65140.5587922881,68235.5532037078,70766.276662861,164900.916729845,67231.764745018,72548.3832755821,535586.978385739,77472.3571308497,68300.7462741229,70462.8775166837,66802.3621499441,69247.6808020564,109180.809757837,71794.4765615863,68584.0143638427,634287.674790842,65093.7173047209,97079.1598694908,65278.0083400427,67628.7278698241,113471.523550203,96827.647772066,90987.2409270462,75224.1819197184,71776.7777480429,110974.958713125,132751.989217876,69995.4907314966,78988.9568280712,70522.7251023864,83640.7892490903,67251.0743396977,155627.209084698,87836.1301375643,78250.2892023219,350280.268395415,96907.8962196941,69995.4907314966,167994.028561241,90982.789858501,67251.0743396977,60059.0594457757,662877.029310929,604980.316596206,78279.5419793878,272471.546230033,80668.9632116954,69110.1604657526,69291.7750848703,71730.2963109696,268327.260668803,148371.697402062,98047.8700460466,67251.0743396977,71730.2963109696,67251.0743396977,73290.4877419831,64713.6153055672,91412.2518960318,174132.135070937,81730.9440156467,69995.4907314966,69995.4907314966,63709.3942595827,120096.545397381,67684.7852634844,67251.0743396977,59908.3346421062,67251.0743396977,81869.8972927587,70740.0426124644,67641.5207942802,119543.399976592
