fits1,fits2,fits3,fits4,fits5,fits6,fits7,fits8,fits9,fits10,fits11,fits12,fits13,fits14,fits15,fits16,fits17,fits18,fits19,fits20,fits21,fits22,fits23,fits24,fits25,fits26,fits27,fits28,fits29,fits30,fits31,fits32,fits33,fits34,fits35,fits36,fits37,fits38,fits39,fits40,fits41,fits42,fits43,fits44,fits45,fits46,fits47,fits48,fits49,fits50,fits51,fits52,fits53,fits54,fits55,fits56,fits57,fits58,fits59,fits60,fits61,fits62,fits63,fits64,fits65,fits66,fits67,fits68,fits69,fits70,fits71,fits72,fits73,fits74,fits75,fits76,fits77,fits78,fits79,fits80,fits81,fits82,fits83,fits84,fits85,fits86,fits87,fits88,fits89,fits90,fits91,fits92,fits93,fits94,fits95,fits96,fits97,fits98,fits99,fits100,fits101,fits102,fits103,fits104,fits105,fits106,fits107,fits108,fits109,fits110,fits111,fits112,fits113,fits114,fits115,fits116,fits117,fits118,fits119,fits120,fits121,fits122,fits123,fits124,fits125,fits126,fits127,fits128,fits129,fits130,fits131,fits132,fits133,fits134,fits135,fits136,fits137,fits138,fits139,fits140,fits141,fits142,fits143,fits144,fits145,fits146,fits147,fits148,fits149,fits150
634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784
634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634846.476238793,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.595592487,634525.806870308,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634221.249924394,665265.618480564,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,733812.862570923,634539.593357269,634521.562965784,634521.562965784,634696.135415726,634521.562965784,634451.778005269,634521.562965784,634398.583209313,634521.562965784,634521.562965784,779278.280275365,634521.562965784,634521.562965784,634195.890721829,634521.562965784,634521.562965784,634528.214203429,634521.562965784,634521.562965784,8327992.64833775,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,28126590.29796,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634977.104396651,645591.14223117,634521.562965784,634551.528367977,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,8727202.74430688,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,633275.28872413,634521.562965784,20121299.2573581,634521.562965784,634521.562965784,634521.562965784,1887404.22179863,634521.562965784,634521.562965784,9600034.70275933,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,647770.22905547,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784
633275.28872413,634195.890721829,634221.249924394,634398.583209313,634451.778005269,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,633275.28872413,633275.28872413,633275.28872413,633275.28872413,633275.28872413,633275.28872413,633275.28872413,633275.28872413,633275.28872413,633275.28872413,633275.28872413,634521.562965784,633275.28872413,633275.28872413,633275.28872413,633275.28872413,633275.28872413,633275.28872413,633275.28872413,633275.28872413,633275.28872413,634521.562965784,633275.28872413,633275.28872413,634521.562965784,633275.28872413,633275.28872413,633358.125992213,634441.315271145,633275.28872413,634521.562965784,634521.562965784,669109.534324593,634521.562965784,634521.562965784,634507.831357353,634521.562965784,634521.562965784,634521.562965784,633339.767454155,634521.562965784,634521.562965784,846388.153854619,634521.562965784,634521.562965784,634521.562965784,634521.818888636,634521.562965784,633732.983964491,634521.562965784,634507.204141521,634521.562965784,634521.562965784,634502.982376509,634221.779361611,634521.562965784,634521.562965784,685349.051234996,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,680045.758638454,634521.562965784,806382.181151796,634521.562965784,624365.564042021,634521.562965784,634457.920384799,634521.562965784,634521.562965784,633262.204339493,634521.562965784,632827.343472843,634530.173983143,633276.13015876,634452.593328467,634521.562965784,636414.943152381,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,633275.28872413,25512163.5262208,634521.562965784,634521.562965784,660472.892887722,634521.562965784,634521.562965784,658932.514445694,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,647025.938199518,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634429.050127055,634521.562965784,625869.262471977,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,633275.28872413
624365.564042021,625869.262471977,632827.343472843,633262.204339493,633275.28872413,624365.564042021,634521.562965784,634221.779361611,634398.583209313,633275.28872413,633275.28872413,634521.562965784,634521.562965784,633275.28872413,634521.562965784,634521.562965784,633275.28872413,634521.562965784,634521.562965784,634502.982376509,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,624365.564042021,633724.847224153,633482.864244058,633403.238655656,633541.500257395,633291.973706717,633206.915566085,634521.562965784,633276.13015876,619696.56550118,633633.127137944,634521.562965784,634521.614658851,633275.28872413,634521.562965784,635251.683847395,634521.562965784,634521.562965784,634521.562965784,634632.425250452,632961.815260232,634521.562965784,634521.562965784,633844.995964514,632625.965472348,634322.388440072,634521.562965784,646507.343858782,633252.908035721,627114.513041832,659514.562694934,634626.448496678,634521.562965784,633180.073752149,633072.161876828,634521.562965784,722387.183102348,634521.562965784,634527.060366908,634521.562965784,634521.562965784,631421.104184036,634521.562965784,633233.01863021,634293.66949105,640897.589830128,634521.562965784,634651.661154175,632856.127842297,634521.562965784,634597.618975525,679792.570059368,634521.562965784,634521.562965784,481459.612627851,635748.344548207,826686.267081943,634521.562965784,634521.562965784,634521.562965784,638674.726733647,635233.903763506,634845.781549951,634521.562965784,624391.535194537,634521.562965784,634521.562965784,634521.562965784,633444.206830181,635146.080568945,638400.125119214,190517.445950258,629550.87375463,28301192.4342934,634521.562965784,634521.562965784,1504537.24284567,636905.538881549,619709.094705803,634499.23326844,628248.082723873,616074.221149588,631388.497199783,623010.513830682,634521.562965784,634586.434076085,3730360.95589307,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,634521.562965784,627844.033360819,633380.389494673,634521.562965784,628432.15523908,634521.562965784,774134.894858805,878616.604063983,634521.562965784
190517.445950258,481459.612627851,616074.221149588,619696.56550118,619709.094705803,633444.206830181,624365.564042021,634322.388440072,624365.564042021,634521.562965784,634521.562965784,616074.221149588,631388.497199783,624365.564042021,634521.562965784,634521.562965784,624365.564042021,633724.847224153,624365.564042021,624391.535194537,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,633275.28872413,624365.564042021,634521.562965784,631388.497199783,634586.434076085,633444.206830181,624365.564042021,633275.28872413,624365.564042021,624365.564042021,624365.564042021,634322.388440072,633252.908035721,633329.995690937,633262.204339493,633275.28872413,633233.01863021,633233.01863021,624365.564042021,633263.826240598,633206.915566085,633104.268841332,634521.562965784,633262.204339493,634521.562965784,634404.690656842,633262.204339493,624365.564042021,624365.564042021,633403.238655656,634521.562965784,633633.127137944,624126.24240172,623365.396649593,633233.01863021,634521.562965784,628432.15523908,632827.343472843,627844.033360819,633262.286725194,624365.564042021,634076.548691305,634521.562965784,624365.564042021,634586.434076085,632856.127842297,619672.072149632,630950.402009089,634521.562965784,633724.847224153,634521.562965784,1283145.96925591,634521.562965784,630673.255242869,554909.37221387,678641.464931135,634521.562965784,638233.165907433,634521.562965784,634521.562965784,681434.441136953,634521.562965784,25248616.2556037,634445.24571697,637982.120414389,634521.562965784,629860.907360976,634769.566073128,709192.926440724,595262.993871668,634521.562965784,32809175.0613876,634521.562965784,657371.544883576,659810.142076982,634030.03005074,633724.847224153,634521.562965784,634521.562965784,669464.153822136,5428516.0882146,630247.260318044,623173.14296464,634521.562965784,623625.892954246,634521.562965784,563729.175112993,637693.963500947,634521.562965784,634521.562965784,634521.562965784,634521.562965784,594268.574125957,1342522.58450329,634521.562965784,498298.427128758,634929.267827404,2668541.1377547,21732750.9326467,634521.585113406
190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,634521.562965784,624391.535194537,633252.908035721,190517.445950258,633262.204339493,619672.072149632,190517.445950258,633262.204339493,190517.445950258,623365.396649593,633233.01863021,633263.826240598,190517.445950258,634404.690656842,634521.562965784,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,633461.321588191,185139.922251907,840285.076518123,245780.314367704,618197.669050372,218964.043221389,633623.833207825,629792.601075063,627590.146661114,624485.447371462,645932.759562009,165841.528451022,304905.651651645,634521.562965784,209850.11754755,634521.562965784,627232.188691001,418659.69791975,619093.012645735,177170.736813979,634521.562965784,636127.760040587,634521.562965784,619818.940011199,622611.176189522,572567.471685595,628380.259493575,188791.900725661,209696.153555268,634521.562965784,632218.334410807,634521.562965784,634521.562965784,490072.114556018,182608.822902135,242945.390521171,683565.755204893,634521.562965784,228502.136410369,633756.795771466,633018.50720843,633672.79193281,269494.746228297,580415.954017769,634187.913066235,198908.102348036,671871.520672294,633203.927074492,514948.06910398,151845.811208071,633262.286725194,602151.292454783,619908.991758831,190517.445950258,623365.396649593,633263.826240598,633599.645426765,634982.784045129,338182.320762541,632728.671073226,675786.587021885,566163.423340734,634521.562965784,206236.558320706,650191.707180482,635648.738449491,190517.445950258,100676.500807061,624365.564042021,634717.682299121,190517.445950258,631388.497199783,634521.562965784,630247.260318044,222786.549695141,190517.445950258,687442.048586844,190517.445950258,633104.268841332,624365.564042021,99116.6689933232,179844.531263476,190517.445950258,6633919.16503654,190517.445950258,190517.445950258,624365.564042021,190517.445950258,72755.4907314966,623385.236230436,190517.445950258,138725.866745605,190517.445950258,308709.495617538,750458.942660757,635970.304259631,630865.31774683,624365.564042021,190517.445950258,771025.535612982
72755.4907314966,99116.6689933232,100676.500807061,138725.866745605,151845.811208071,633262.204339493,623365.396649593,514948.06910398,514948.06910398,242945.390521171,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,190517.445950258,602151.292454783,190517.445950258,179844.531263476,304905.651651645,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,190517.445950258,139824.070926279,619908.991758831,190517.445950258,190517.445950258,633672.79193281,190517.445950258,190517.445950258,95436.4761633523,242945.390521171,635648.738449491,180519.827609667,99116.6689933232,190517.445950258,99371.6080178843,619908.991758831,185139.922251907,288386.474898728,190517.445950258,190517.445950258,190517.445950258,190517.445950258,138725.866745605,189694.725900967,182608.822902135,633672.79193281,633164.100321081,624365.564042021,623385.236230436,182083.700571885,632218.334410807,245780.314367704,618197.669050372,572567.471685595,191463.957124987,634521.562965784,190517.445950258,156661.951478572,190517.445950258,188791.900725661,190517.445950258,165244.090427464,151845.811208071,190517.445950258,190195.870596719,190517.445950258,624365.564042021,160931.699986895,631501.644217224,210960.531380241,23087297.961709,634521.562965784,220668.640601368,291339.759400309,659156.53210915,272317.771225527,625928.060949157,624485.447371462,206662.850758607,632869.165668735,190517.445950258,242945.390521171,206236.558320706,190517.445950258,222177.870654979,622611.176189522,622611.176189522,427057.680117662,228502.136410369,139771.562204436,634779.933162431,297483.293679163,168423.471823462,117999.173816327,516752.699285103,633104.268841332,190517.445950258,185139.922251907,207104.112358186,618197.669050372,633263.826240598,146447.81319856,354836.856357585,148789.420965852,87176.7321289741,497474.697473605,100676.500807061,190517.445950258,724219.39998565,1092282.29007501,186049.112281457,634521.562965784,113844.815888961,279108.173927907,181518.642509146,167965.150757688,635432.182114349,190517.445950258,624365.564042021,115634.731463624
72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,99116.6689933232,514948.06910398,190517.445950258,72755.4907314966,139771.562204436,72755.4907314966,72755.4907314966,242945.390521171,72755.4907314966,138725.866745605,72755.4907314966,72755.4907314966,427057.680117662,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,72755.4907314966,168560.559664453,254264.529328881,75335.5044582796,634543.677419167,222177.870654979,223750.315756602,102386.455646822,619632.026797647,515248.115823976,72483.7865121705,427057.680117662,72755.4907314966,186732.381754872,492701.050344975,188290.694210664,189116.388307903,72002.0167588376,151845.811208071,190517.445950258,190517.445950258,72755.4907314966,99719.8281651999,72755.4907314966,72755.4907314966,71660.1604657526,247995.336891899,179930.573910588,104058.941348347,72755.4907314966,72755.4907314966,73863.0001492193,72192.4536570615,72600.4235843556,226486.223088349,190517.445950258,168423.471823462,86442.0882239951,284866.012521217,190517.445950258,190517.445950258,71598.1209392199,72755.4907314966,71645.0319625078,73137.5097520448,100724.3580121,207104.112358186,190517.445950258,187563.77083977,104473.299129086,72195.6905676684,72755.4907314966,72755.4907314966,72755.4907314966,292482.259531011,72755.4907314966,105876.085238139,71001.0743396977,161450.438091212,692456.046487212,72755.4907314966,131333.35161652,623269.434676973,633074.807945818,265793.239786777,72755.4907314966,241372.277363527,184760.970627829,127695.134934207,330331.885475458,146447.81319856,643038.256646235,2199201.79012637,77080.9746673245,140991.826796144,698134.726188295,214916.958458033,72755.4907314966,307129.144234751,88871.6782121298,437005.783710935,624370.743550927,634521.562965784,669207.901056898,699914.534945475,190517.445950258,72755.4907314966,95694.8535469514,474940.402325611,275574.887147422,220491.190734567,631704.15611321,159281.434197327,139771.562204436,239079.730803468,112213.252316817,198134.158943422,125819.646913275,141893.658643218,175096.949552144,220168.912664482
71001.0743396977,71598.1209392199,71645.0319625078,71660.1604657526,72002.0167588376,72755.4907314966,72755.4907314966,190517.445950258,72755.4907314966,72755.4907314966,72192.4536570615,71598.1209392199,72755.4907314966,72755.4907314966,73137.5097520448,72755.4907314966,140991.826796144,189116.388307903,138725.866745605,190517.445950258,71001.0743396977,71001.0743396977,71001.0743396977,71001.0743396977,71001.0743396977,71001.0743396977,71001.0743396977,71001.0743396977,71001.0743396977,71001.0743396977,71001.0743396977,71001.0743396977,70082.0936403958,71001.0743396977,71001.0743396977,71001.0743396977,71001.0743396977,71001.0743396977,71001.0743396977,71001.0743396977,71001.0743396977,71001.0743396977,71001.0743396977,71001.0743396977,71001.0743396977,71001.0743396977,70082.0936403958,71001.0743396977,85478.1751599473,85478.1751599473,277201.546230033,617264.433115745,73588.7242847391,235740.392700488,100856.305819393,2176144.82142343,96318.1514474403,75973.0203321153,72728.7074968408,113975.846262181,73277.7897573189,72724.0205838723,99858.9523494305,164073.934840194,94845.3194703996,236237.763269309,74609.2533959528,92861.0641581431,100679.624079746,139199.376045613,76565.0330243366,120042.206259661,72400.1270525848,117950.760049812,72755.4907314966,217577.067311482,114977.575841804,74490.2963109696,191895.740485815,190560.396415329,385946.830096052,181326.343338856,138282.168744245,100507.896219694,262083.794356373,93962.5985626933,73410.0426124644,158876.38947197,84499.8972927587,74737.0434852003,94966.3754520526,83368.9632116954,120473.184440903,73845.1320416021,96026.6343189853,149147.887815899,254676.542011968,88153.4530621964,74216.71697581,186003.719013392,89688.3518379071,421622.624291234,97594.7535340595,660948.873907337,701498.708258376,77157.0794803386,181666.555268682,484507.077737918,144713.588852725,99331.363797172,180287.090460939,644841.088315532,538242.895244146,1287911.53326295,696851.527758148,68447.5029600459,2081185.55928132,479246.127490557,186639.074122669,641101.168945579,668583.977174212,80823.5861711785,92195.2306696312,98406.5765896072,123324.027970177,98066.1949618685,100875.313445228,691684.203395804,115782.873211073,634432.512169649,72765.8947258178,470292.739525792,246141.502572768,326432.06816777,634143.987973026,89325.9223946822,634521.562965784,106749.57860561,1056489.10087438,83555.2403071877,4140439.60452459,718256.236467794,97566.8575620827,575486.647975483,209556.840169563,633084.613545236,220762.978320037,121504.110644932,536153.350178656,507967.15500749
68447.5029600459,70082.0936403958,70082.0936403958,71001.0743396977,71001.0743396977,71001.0743396977,76565.0330243366,71001.0743396977,71001.0743396977,71001.0743396977,71001.0743396977,189116.388307903,96026.6343189853,120473.184440903,89325.9223946822,75973.0203321153,77157.0794803386,71001.0743396977,72728.7074968408,326432.06816777,68447.5029600459,68447.5029600459,91787.4257281339,68447.5029600459,68447.5029600459,68447.5029600459,68447.5029600459,68447.5029600459,68447.5029600459,68447.5029600459,68447.5029600459,68447.5029600459,68447.5029600459,68447.5029600459,68447.5029600459,68447.5029600459,68447.5029600459,68447.5029600459,68447.5029600459,68447.5029600459,68447.5029600459,68447.5029600459,68447.5029600459,68447.5029600459,68447.5029600459,68447.5029600459,68447.5029600459,68447.5029600459,68447.5029600459,68223.3338664141,79821.3810442904,70873.9328144449,110314.048032857,72234.8001678217,69776.2310931137,99416.5612934032,86637.8404139577,69928.2571698907,88675.6104754589,139279.873902788,145762.696356606,160172.843887773,73573.2527300094,85109.8503357474,81345.7647033256,71278.2113505054,79454.3851467893,193666.935138223,160540.727376573,101497.057864979,78711.8105359976,69061.9897540095,75400.6056492627,132229.450668592,82208.4873456801,72206.7774711875,70738.2656627858,68650.5587922881,71845.5532037078,73536.276662861,171090.916729845,70971.764745018,76048.3832755821,551306.978385739,80742.3571308497,71810.7462741229,73402.8775166837,70372.3621499441,72787.6808020564,113770.809757837,74244.4765615863,72154.0143638427,634287.674790842,68323.7173047209,100689.159869491,67678.0083400427,71058.7278698241,117141.523550203,100447.647772066,93717.2409270462,81454.1819197184,74816.7777480429,127524.958713125,147441.989217876,72755.4907314966,80658.9568280712,72542.7251023864,93000.7892490903,71001.0743396977,169457.209084698,91616.1301375643,80190.2892023219,377790.268395415,100507.896219694,72755.4907314966,170624.028561241,95742.789858501,71001.0743396977,64089.0594457757,667257.029310929,627730.316596206,81719.5419793878,277201.546230033,83368.9632116954,71660.1604657526,71671.7750848703,74490.2963109696,277147.260668803,155331.697402062,101587.870046047,71001.0743396977,74490.2963109696,71001.0743396977,81740.4877419831,67843.6153055672,94482.2518960318,181102.135070937,85310.9440156467,72755.4907314966,72755.4907314966,65889.3942595827,128876.545397381,70164.7852634844,71001.0743396977,63398.3346421062,71001.0743396977,84499.8972927587,73410.0426124644,72441.5207942802,127013.399976592
