Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100,Var101,Var102,Var103,Var104,Var105,Var106,Var107,Var108,Var109,Var110,Var111,Var112,Var113,Var114,Var115,Var116,Var117,Var118,Var119,Var120,Var121,Var122,Var123,Var124,Var125,Var126,Var127,Var128,Var129,Var130,Var131,Var132,Var133,Var134,Var135,Var136,Var137,Var138,Var139,Var140,Var141,Var142,Var143,Var144,Var145,Var146,Var147,Var148,Var149,Var150
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1766,0,0,0,0,0,0,0,0,0,0,0,0,0,1778,590,1705,0,1668,0,0,1581,1667,1671,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,0,0,0,0,1045,0,0,0,0,302,0,0,0,0,0,0,512,1528,0,0,689,924,0,0,1767,1159,0,1105,0,0,0,0,0,288,0,0,0,0,0,470,0,433,280,1788,0,958,1775,0,0,581,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,0,0,381,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,0,0,0,0,1028,0,0,0,0,0,596,1093,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,848,0,0,0,0,0,0,0,0,0,494,0,0,0,920,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,0,0,0,0,1105,0,0,0,0,962,0,0,0,0,0,0,0,0,0,0,891,0,324,0,0,0,48,0,0,0,1104,0,0,0,0,0,0,0,530,0,748,0,257,0,0,0,0,0,89,0,1109,0,0,755,1735,1427,0,0,0,0,0,0,503,1190,1387,0,0,760,0,1636,0,0,0,0,0,0,428,537,0,0,0,0,0,1796,0,0,0,0,0,0,0,0,0,1329,0,0,1767,470
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,0,1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1197,0,1782,477,0,0,741,0,0,0,0,937,881,1793,50,916,0,0,960,0,0,1018,444,0,0,0,0,1042,1789,0,418,0,0,0,270,0,0,485,575,0,0,0,0,1149,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,548,0,0,320,0,551,0,0,0,52,0,0,0,0,76,0,0,0,1307,0,0,0,340,0,0,0,884,1048,0,0,0,0,0,1088,1168,0,0,516,0,346,485,650,534,0,510,899,0,29,0,0,0,0,464,0,0,598,0,1777,272,477,0,594,209,0,0,1689,190,1193,1042,1791,1730,0,574,0,239,119,485,1096,0,327,0,1161,1743,1028,0,0,0,0,0,0,0,1708,1377,0,606
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1168,0,0,0,0,190,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,640,1190,0,172,0,1692,442,0,1582,883,0,943,599,0,0,0,1403,893,1787,1267,0,1144,1073,725,0,860,0,352,0,1441,0,0,0,0,0,0,575,740,0,189,1178,0,1761,0,1197,1753,1787,1778,134
0,0,0,0,0,0,0,0,1155,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405,0,1050,0,0,46,1161,1044,0,0,568,0,0,0,1492,0,0,0,0,0,0,0,0,1035,0,252,0,0,0,0,874,0,0,0,4,0,761,0,0,287,0,0,0,98,0,1159,0,1209,1129,0,23,1330,0,1028,390,0,0,0,0,963,1720,1788,297,619,0,519,0,0,0,439,327,0,0,0,657,0,1507,812,0,168,1786,652,1556,0,375,1079,0,477,1533,0,1167,552,0,0,0,0,0,862,492
0,0,0,0,0,0,327,0,0,0,0,327,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1051,519,0,0,531,569,0,0,1042,0,0,338,0,0,0,0,0,181,0,0,287,1786,0,0,0,0,15,0,0,0,46,0,0,20,0,0,0,1266,0,1025,0,0,0,0,297,0,665,0,0,0,1196,0,0,0,0,0,502,0,1120,253,0,1483,0,920,1177,0,1766,310,0,583,1343,1044,0,0,1451,580,0,363,0,1742,0,371,0,0,0,4,0,1359,0,0,1341,0,0,0,0,0,0,601,0
