Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100,Var101,Var102,Var103,Var104,Var105,Var106,Var107,Var108,Var109,Var110,Var111,Var112,Var113,Var114,Var115,Var116,Var117,Var118,Var119,Var120,Var121,Var122,Var123,Var124,Var125,Var126,Var127,Var128,Var129,Var130,Var131,Var132,Var133,Var134,Var135,Var136,Var137,Var138,Var139,Var140,Var141,Var142,Var143,Var144,Var145,Var146,Var147,Var148,Var149,Var150
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376.389611656095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376.389611656095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,376.389611656095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.107934286882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.289793134558,0,0,0,3.26728044961623,0,0,0,0,0,240.012078537053,0,0,0,0,0,0,15.9710076863929,0,0,0,0,0,0,0,0,0,85.3496645588288,0,0,0,0,0,43.3594722335938,0,63.1550363421523,0,0,0,22.541423838524,2399.59249326807,0,53.2537039826066,78.0379307508699,0,353.949979261796,0
353.949979261796,2399.59249326807,43.3594722335938,376.389611656095,376.389611656095,376.389611656095,0,0,0,376.389611656095,0,147.107934286882,0,0,376.389611656095,0,240.012078537053,376.389611656095,376.389611656095,376.389611656095,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,0,47.6116448415369,0,0,16.3751896668504,474.403703619529,323.386486087791,0,0,327.947780104669,285.503781855089,259.1132561792,2299.19062455434,415.706363394117,154.579350343279,372.762294461773,327.439896514613,2554.61497135976,0,0,417.048585446622,385.015661088538,0,0,0,342.770090184333,0,350.505685940416,0,0,357.717541321718,0,144.836659231185,0,0,425.539798173811,281.660098210019,82.7711213623578,0,0,141.375507136305,89.1178969330766,376.027530369977,0,0,325.145515415228,359.139341976078,0,0,0,0,0,0,0,0,0,0,0,0,0,1443.03853063725,0,0,0,0,0,0,110.604371777596,0,0,0,0,0,0,48.4503040340397,0,0,0,0,0,0,0,0,0,0,0,0,4.76914085811089,0,0,0,0,0,0,0,0,0,243.784368158384,0,0
47.6116448415369,353.949979261796,353.949979261796,353.949979261796,353.949979261796,353.949979261796,43.3594722335938,259.1132561792,353.949979261796,353.949979261796,425.539798173811,353.949979261796,359.139341976078,0,353.949979261796,0,357.717541321718,353.949979261796,353.949979261796,2554.61497135976,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,52.7243767345214,47.6116448415369,47.6116448415369,299.73881653955,0,327.036836417726,264.520894057715,177.01156415309,0,203.294110445134,0,150.087777631475,75.0940246233953,231.856759669365,284.19147036764,197.801244971499,0,195.546621279231,0,279.37713309873,299.477837450631,142.737474230382,345.879425604913,359.228943436432,303.123924856547,301.749540008588,343.795466422969,235.72477835731,2299.39489376077,47.915774564743,144.217455437846,16.2784674258587,2337.85061203811,0,0,276.03562834611,0,0,2336.77491507598,0,356.198048227589,424.755880859725,295.680656861103,2201.83334374258,283.633602706413,0,308.573122204904,307.978494584208,342.674790563881,2185.22644242097,343.87095462455,303.752954621469,299.276274522424,362.868434920518,103.392736010858,0,0,0,0,0,0,15.4979934426277,0,5.64951676849168,0,0,223.246939552891,0,0,0,0,3.85145441253983,0,0,30.8197831207239,0,0,0,0,0,0,0,0,171.068837819552,0,0,0,138.054879139919,0.227859856323233,0,0,486.143314081988,0,50.1708366063314,0,0,0,0,0,0,0,5.92428991520371,0,0
47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,0,0,47.6116448415369,0,47.6116448415369,47.6116448415369,47.6116448415369,353.949979261796,295.680656861103,299.276274522424,0,353.949979261796,486.143314081988,0,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,47.6116448415369,0,68.9155076298621,62.2268304184946,284.923295374808,47.596226753312,180.435986355295,0,2118.61354486023,242.638125265496,79.0916899834566,11.5446480901883,22.2245344061888,158.254175887025,26.592839092438,35.4482151499412,282.14044740082,44.141673708795,271.621445177135,234.028862162008,290.662368004464,50.3240008070333,261.683866705665,0,230.977995887236,25.9673604790444,299.537354758618,17.8358176178823,72.2229123511559,378.24518194588,416.598857870572,342.765712813955,9.31762540780564,55.6081967338677,216.70692602735,244.765398396684,144.066511108289,265.719055039236,197.154047730583,31.8953656187469,0,280.441076318977,219.760734491791,318.676715673155,296.257661196736,0,0,262.327211453489,139.521095910609,234.494334255039,4.27287400623521,0,48.8274233944357,180.693310859856,0,15.4398542860872,0,0,0,0,0,0,0,0,0,0,20.8214294595417,0,171.208631071328,0,0,0,277.459891199118,0,0,25.5978385806662,0,0,0,0,0,0,177.971836323979,0,0,0,330.634265294443,0,0,0,0,2.03774393365573,112.212892194382,0,0,113.549607901109,59.6919368099032,297.655541113733,0,0,0
