Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100,Var101,Var102,Var103,Var104,Var105,Var106,Var107,Var108,Var109,Var110,Var111,Var112,Var113,Var114,Var115,Var116,Var117,Var118,Var119,Var120,Var121,Var122,Var123,Var124,Var125,Var126,Var127,Var128,Var129,Var130,Var131,Var132,Var133,Var134,Var135,Var136,Var137,Var138,Var139,Var140,Var141,Var142,Var143,Var144,Var145,Var146,Var147,Var148,Var149,Var150
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2171,0,0,587,0,240,596,0,0,0,0,0,0,0,0,0,0,0,1351,0,0,0,0,0,0,1793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,2242
0,0,0,0,0,0,0,1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,1430,0,0,0,0,0,0,0,0,1581,0,0,0,597,0,0,0,0,0,543,2364,0,0,0,0,737,0,0,2322,0,0,0,0,0,0,0,2388,1289,0,0,1620,0,803,2142,0,2209,0,0,0,1649,0,2257,0,1349,0,2352,2227,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1677,0,0,0,0,0,0,0,1788,0,0,0,0,0,92,0,0,0,734,2375,0,0,0,1299,226,0,0,0,0,0,0,0,467,0,0,0,1772,0,0,0,2165,0,0,2291,461,0,122,0,0,1842,0,663,0,0,0,826,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,0,967,0,0,0,0,0,0,0,1217,0,0,0,0,550,0,0,0,0,0,0,0,0,1587,0,0,0,1381,0,0,0,0,0,1435,0,0,0,0,0,0,0,0,0,1247,0,0,0,0,0,1249,0,1478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2301,0,0,0,1061,2275,0,942,0,0,0,0,0,0,0,0,506,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1262,0,0,0,0,1553,1630,0,0,380,0,466,0,0,0,0,1505,7,487,0,0,0,0,774,0,0,0,0,0,0,0,0,493,0,0,0,670,0,0,0,0,1810,0,0,0,0,0,315,0,545,0,0,0,1322,0,1372,0,1278,0,0,0,2376,0,0,946,244,0,0,0,0,0,0,1320,2234,0,0,0,0,0,0,0,0,974,0,0,0,340,1172,0,0,0,0,0,0,0,0,0,0,477,0,0,3,0,48,0,1176,0
0,0,0,0,0,0,0,0,0,0,0,0,0,477,0,380,0,1505,0,0,0,0,0,213,789,0,9,0,0,0,399,0,0,0,0,0,0,0,0,0,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1954,0,0,0,0,1638,0,0,0,0,0,0,0,0,0,0,486,186,0,0,0,0,0,104,0,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,0,0,0,0,173,427,0,0,0,1717,422,0,0,0,0,0,0,411,0,0,1706,0,2356,0,0,0,0,1793,0,0,415,1090,0,0,1682,0,0,1567,0,0,0,0,0,0,2285,499,1845
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,0,0,0,0,0,0,0,0,2015,297,0,546,0,0,0,0,38,1594,0,0,0,0,0,0,578,0,0,738,0,0,0,0,0,2293,0,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,203,0,0,0,220,2293,0,0,0,0,2205,1973,1146,0,845,1652,0,2363,1088,1092,0,0,0,0,1712,0,0,0,930,0,1983,0,0,0,2154,0,0,2046,0,1548,0,1759,0,0,2368,0,0,1867,1689,0,0,0,2301
0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,94,2216,0,0,0,2327,0,0,0,0,1352,0,0,0,0,0,0,0,955,0,0,0,0,0,0,0,0,1577,0,401,0,812,1181,338,0,0,0,0,729,0,0,0,1462,1217,0,1303,0,1141,0,0,0,0,0,0,583,0,0,0,0,0,0,484,0,0,0,0,0,0,190,0,0,0,0,0,0,0,377,0,0,0,1044,0,1745,0,0,0,0,0,0,1602,0,0,1973,0,0,1704,0,0,728,0,738,0,138,0,1530,0,0,0,0,0,2243,0,0,0,2336,0,0,0,548,0,122,0,0,2342,1021,0,252,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2326,0,0,0,549,200,0,0,1850,0,0,0,750,0,544,85,0,0,0,1098,0,0,0,0,0,0,770,10,0,0,0,0,0,0,0,0,542,243,0,15,1171,0,0,1891,1341,1053,0,0,93,0,90,0,672,0,1151,555,0,0,0,0,186,1470,571,0,0,0,577,0,0,0,1002,267,473,0,0,1710,467,1372,0,548,2269,0,0,0,2363,2109,0,2034,2267,0,0,0,630,360,0,0,0,1140,0,2200,1994,0,467,350,134,2290,0,0,0,0,0,0
0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,0,0,0,0,1234,0,1527,0,0,0,0,0,653,0,0,0,0,1930,0,0,0,0,0,0,0,0,0,247,0,0,561,1638,0,535,878,0,0,548,0,721,0,0,707,42,598,1122,45,0,0,0,99,1620,0,546,0,0,0,0,0,0,0,0,1146,564,0,0,0,1698,0,703,0,1422,0,571,0,0,0,0,1506,0,0,0,0,0,0,1745,374,492,237,0,0,0,0,0,0,0,0,1894,2383,556,2367,0,2374,0,1550,0,1828,0,623,1102,1938,0,2247,0,1122,0,861,518,0,0,0,0,1614,0,2352,0,0
0,0,0,0,0,878,0,653,0,0,0,0,0,548,0,0,0,0,0,0,0,0,0,534,0,0,0,0,627,0,731,0,1046,0,0,0,0,0,0,0,1469,0,569,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,0,0,0,0,0,0,0,0,0,0,0,0,905,0,601,554,889,2287,0,0,1415,0,0,0,1996,0,0,0,0,0,0,485,0,0,0,0,0,0,2220,0,0,0,1282,0,1051,0,1355,0,2349,1419,0,0,0,0,0,0,571,1138,1146,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,0,1967,0,0,0,0,0,0,0,0,0,477,0,0,0,0,0,0,0,2252,0,0,0,0,0,0,534,0,0,1115,1815,1459,0,0,437,0,0,0,0,0,0,1624,991,0,0,0,0,651,0,0,0,0,1534,0,541,0,0,0,1069,0,0,1023,1382,700,745,0,0,530,0,0,0,1119,0,0,0,0,758,0,2295,1407,0,0,0,0,0,0,0,2275,0,0,1152,0,0,0,0,0,0,0,0,0,1726,0,0,0,1146,0,571,310,1530,0,2298,0,1617,548,520,0,0,0,985,1472,0,533,1207,1081,0,459,0,2372
0,0,0,0,0,0,0,0,0,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,0,646,0,0,0,0,0,627,0,0,0,0,446,116,0,0,0,185,0,0,563,0,0,0,0,0,0,0,0,0,0,0,1115,0,1920,913,0,0,0,0,0,1547,652,1687,0,0,0,0,0,0,0,0,0,0,0,699,0,0,0,523,0,0,0,977,0,0,545,0,0,0,0,0,0,2023,0,0,2278,0,0,880,0,0,239,0,0,667,1944,599,580,1091,2326,2254,2349,0,480,0,0,0,0,1467,2235,0,0,561,601,1053,0,532,0,350,0,0,518,0,0,0,0,2144,2365,0,0,0,614,2287,0,0
0,0,0,0,0,0,480,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,0,0,0,0,0,0,0,0,0,239,0,0,0,547,0,1844,0,0,1818,0,0,0,0,0,0,0,0,0,0,0,534,0,0,0,0,0,0,0,0,0,0,977,0,0,0,559,0,0,0,0,0,0,0,1475,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,1045,0,0,0,0,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076,0,0,0,0,0,0,0,0,0,0,0,1681,1092,0,0,0,0,0,0,0,491,0,0,0,0,0,582,0,0,0,0,505,0,0,1470,0,0,0,0,0,0,0,0,0,986,689,1110,0,557,1009,1607,0,0,400,0,0,0,0,0,441,0,1783,1811,63,0,831,649,0,298,0,520,508,534,495,0,0,1559,2366,0,544,0,2242,1350,2328,1668,0,0,1435,1821,0,0,0,0,0,2148,520,0,0,551,0,1766,0,0,0,0,1263,412,0,819,543,0,0,1176,0,0,0,2130,0,0,343,0,0,0,0,293,2197,0
0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,343,0,0,0,491,0,0,0,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2080,0,0,0,0,0,0,0,0,0,477,2328,1263,0,46,1566,0,0,0,0,0,0,559,0,0,504,491,0,0,0,0,0,0,0,496,0,0,530,428,0,566,0,0,150,858,0,1092,0,0,0,592,0,0,0,410,0,0,1009,0,1027,0,298,532,0,0,1640,0,0,0,1110,0,0,0,0,0,685,0,0,1009,0,0,0,0,0,0,0,0,0,306,0,0,0,0,0,296,0,0,551,0,535,0,0,681,2145,520,556,0,0,0,0,0
0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,436,0,0,0,0,0,552,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723,0,0,0,1009,0,0,0,0,536,337,0,0,0,522,0,0,0,0,0,0,83,0,0,517,0,0,1129,0,0,0,0,673,0,0,0,0,0,0,268,559,0,0,2082,0,2098,1114,0,0,517,0,0,1840,0,569,1625,0,0,0,0,1952,0,364,1238,2366,2368,1135,2238,671,779,0,2384,0,0,0,1297,2389,2149,0,0,0,0,2295,569,0,0,0,1173,0,1889,0,0,1134,150,46,907,1548,821,496,448,105,698,0,230
0,0,0,0,0,0,0,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,1532,0,553,0,261,0,0,0,0,464,475,1228,0,0,522,0,0,0,0,0,0,0,0,230,0,0,0,0,833,810,0,0,428,1203,0,0,0,0,0,491,0,0,0,0,522,0,0,0,0,0,528,0,0,0,0,0,597,0,0,2336,0,0,0,0,0,0,0,1730,0,0,277,0,251,2334,0,517,556,532,0,1674,0,0,0,0,868,0,2238,2177,1268,0,0,2367,623,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,44,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1390,0,0,0,0,0,0,0,0,0,0,0,0,736,0,0,0,0,0,0,0,0,0,0,0,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,0,1309,1595,1388,986,2358,1513,2344,0,205,594,0,1043,0,2371,1783,720,2237,1729,2169,654,598,649,1064,573,0,521,0,0,2315,2295,1647,0,129,1710,0,14,0,0,2080,0,0,1084,409,1625,0,0,0,493,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,489,0,0,0,0,0,0,402,0,178,0,0,0,0,730,89,579,0,453,0,147,198,34,616,0,0,802,0,1567,1075,0,569,0,0,0,692,490,0,701,698,0,650,0,740,0,0,0,678,559,0,556,0,0,1258,808,0,0,0,0,1199,1095,0,1793,0,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,0,0,0,0,0,0,66,0,0,736,0,0,0,596,28,274,0,0,0,0,0,0,0,721,0,0,0,0,0,28,0,451,0,0,0,257,0,0,560,0,50,1380,0,0,0,0,1005,1289,361,0,489,2128,566,0,820,1950,497,0,0,0,0,0,1132,571,0,0,0,1915,0,0,0,60,0,366,1010,0,0,1773,0,0,1121,1,2370,2365,0,482,0,2393,25,1118,602,0,598,1073,0,0,2358,0,1804,1407,0,2307,1769,2144,0,0,0,0,0,0,1324,1818,0,46,0,0,1534,1239,610,2244,2070,2358,0,0,0,1757,0,1173,798,2019,0,1564
0,0,0,0,0,0,0,1757,0,0,0,0,0,0,0,0,0,0,0,0,448,0,0,0,0,0,0,0,0,301,0,0,0,0,478,0,0,525,0,307,516,0,0,0,0,0,366,0,0,0,0,0,2060,473,258,0,0,0,596,639,0,843,0,0,358,672,66,0,0,0,0,581,0,0,706,0,0,0,1989,0,0,1090,0,518,1765,0,0,0,0,1163,0,0,997,0,1,1113,465,2358,0,679,257,1469,1663,1,0,0,0,0,0,0,1727,0,2364,0,839,2287,0,0,167,0,0,0,0,0,0,2371,1142,1321,0,0,585,0,2331,0,0,0,0,261,964,423,0,0,1063,983,527,0,0,0,0,0
0,0,0,0,0,366,0,478,0,0,527,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0,518,0,0,0,0,0,0,1763,0,0,44,0,28,218,0,0,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639,0,706,0,0,0,0,0,0,358,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,454,0,0,0,937,1678,0,583,0,799,839,0,1651,2386,0,0,2339,534,0,0,1113,0,1392,0,764,0,0,0,606,392,1606,634,2240,958,0,599,412,0,0,0,841,0,0,1059,0,0,2368,0,0,0,0,1647,1220
0,0,0,0,0,0,398,0,0,0,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,18,0,0,0,0,0,0,0,0,0,0,0,988,0,0,0,0,0,0,0,0,0,0,0,0,1349,0,0,0,0,2094,481,0,0,0,139,0,61,0,713,0,464,0,0,0,0,0,0,0,0,0,464,782,0,0,419,0,1142,0,586,605,509,1027,0,0,0,86,0,0,1086,0,828,595,1178,0,0,2219,143,2365,22,2043,0,0,966,0,0,557,601,1063,0,2308,1963,0,2320,2278,1188,0,0,0,0,0,1891,2248,808,1590,1102,0,1918,0,147,532,2109,2199,1154,1364,0,1751,482,136,0,0,755
0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,424,0,324,190,0,527,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,519,782,0,525,0,0,0,0,0,201,0,1651,0,1140,0,0,0,426,1,0,0,0,586,0,0,0,0,0,0,0,0,0,0,1140,0,0,1188,0,625,0,0,498,1084,247,831,0,0,0,687,257,0,0,0,422,0,0,512,0,1187,2120,598,0,0,909,0,2361,0,0,2300,0,2102,0,1969,0,0,2182,0,2359,2342,606,966,1483,0,2316,568,2100,2344,1920,1770,1238,2383,1693,1192,2213,0,2294,2370,1038,1509,0,0,2370,1650,0,1863,0,591,1008
