fits1,fits2,fits3,fits4,fits5,fits6,fits7,fits8,fits9,fits10,fits11,fits12,fits13,fits14,fits15,fits16,fits17,fits18,fits19,fits20,fits21,fits22,fits23,fits24,fits25,fits26,fits27,fits28,fits29,fits30,fits31,fits32,fits33,fits34,fits35,fits36,fits37,fits38,fits39,fits40,fits41,fits42,fits43,fits44,fits45,fits46,fits47,fits48,fits49,fits50,fits51,fits52,fits53,fits54,fits55,fits56,fits57,fits58,fits59,fits60,fits61,fits62,fits63,fits64,fits65,fits66,fits67,fits68,fits69,fits70,fits71,fits72,fits73,fits74,fits75,fits76,fits77,fits78,fits79,fits80,fits81,fits82,fits83,fits84,fits85,fits86,fits87,fits88,fits89,fits90,fits91,fits92,fits93,fits94,fits95,fits96,fits97,fits98,fits99,fits100,fits101,fits102,fits103,fits104,fits105,fits106,fits107,fits108,fits109,fits110,fits111,fits112,fits113,fits114,fits115,fits116,fits117,fits118,fits119,fits120,fits121,fits122,fits123,fits124,fits125,fits126,fits127,fits128,fits129,fits130,fits131,fits132,fits133,fits134,fits135,fits136,fits137,fits138,fits139,fits140,fits141,fits142,fits143,fits144,fits145,fits146,fits147,fits148,fits149,fits150
2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2399.99647522194,2400,2400,2400.00006497629,2399.99020385653,2400,25615.9834970237,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400.00003738942,2400,2400,2400,2400,2400,2400,2400,2400,2400,2399.99034579287,2400,2399.99800757564,2399.8734144312,2399.93997281266,2399.99232316432,2400,2400,2400,2400,2400,2399.99605823339,2399.91772698468,2399.95952847593,2400,2399.99994178723,2399.95282795312,2399.99726236066,2399.99997245688,2400,2400,2400,43647.1094171733,2399.51552706395,2400,13553.0189966416,2400,6959.3875131662,13724.1233786649,2400,2400,2400,2400,2400,2399.98860141552,2400,2400,2400,2400,2400,28065.9247596845,2400,2400,2400,2400,2400,2400,36466.3469992461,2400,2400,2400,2400,2400,2400,2400,2400,2400.42772638628,2400,2400,2400,2400,2400,2400,2400,2400,2400,12888.1014993279,44996.0426486063
2399.51552706395,2399.8734144312,2399.91772698468,2399.93997281266,2399.95282795312,2400,2400,28065.9247596845,2399.99020385653,2400,2400,2399.99034579287,2400,2400,2400,2400,2400,2399.93997281266,2400.00006497629,2399.51552706395,2400,2400,2400,2400,27651.3630575708,2400,2400,2400,2400,2400,2399.91772698468,2399.99020385653,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2399.95175224854,2400,2400,27307.3594818854,2399.99647522194,2399.87035225684,2400,2399.98297223934,2400,2400,2400,2400,2400,2400,2400,2400.04286964321,2400,2400,2399.99435210389,2399.97483177589,2400,2400,2400,2400,2399.99460644004,2400,2399.90010668075,2400,2400,3958.30952301636,2400.00525123682,2400,2400,2400,2400,2400,2400,2400,2400.00136695722,2399.99018208944,2400,2400.00165885286,29567.0539489551,2400,2400,2400,2400,2400,2399.97378345105,2400,2400.00000086451,32436.5903192831,2400,2400,2400,13743.0256249725,2400,2400,2400.21289337711,2400,2399.99997245688,12716.5785569471,47315.2563982606,2400,2400,2399.99994178723,2400,16391.5017499176,2400,2400,46516.2883989631,2400,2400,2400,2400,2400,2400,2400,47772.3715384811,26888.9501027508,2400,2400,33182.4560594381,2400,17656.3261482791,43095.2796210199,2400,44369.054112699,2400,2400,2400,33732.8979514562,2400,45281.4715483683,2400,28029.1298915,2399.7340445629,47086.1701184191,44702.3171143911,2400,2400,2400
2399.51552706395,2399.51552706395,2399.7340445629,2399.87035225684,2399.8734144312,2400,2400,2399.99997245688,2399.95175224854,2400,2400,2400,2400,2399.99020385653,2399.91772698468,2399.91772698468,2400,2400,2399.99435210389,2400,2399.95954847204,2400,2400,2400,2399.99043082389,2400,2400,2399.99999124204,2400,2400,35763.1588300381,2400,2399.76205425999,2399.99691296131,2400,2400,2400,2399.92855534413,2400,2399.95188854188,2400.00730792219,2400,2400,2400,2400,2400,2399.95175224854,2400,2400,2399.51552706395,2400,2400,2400,2400,2400.00749314289,8856.79510335379,2400,26718.4774588488,2400,2400,2400,2399.93941109359,2399.83480790711,2400,2399.99205721124,2400,2399.99468698919,2399.92919470975,2400,2400,2400,2399.82207965354,2399.90994729873,2400,2399.98453796319,2400,2399.99976054272,2400,2400,2399.97483177589,2400,2400,2399.91169437048,2399.87035225684,2399.97483177589,2400,2400,2399.99938728554,2399.96416971797,2399.99760364382,2399.6627087515,2399.79722918203,2400.00525123682,34261.9646920336,2400,2400,2399.99309437657,2400,2400,2399.9866275709,2400,36371.2261455107,2400,2399.51552706395,2400,2400,2399.97378345105,4147.47600516917,2400,2400,2400.0379132704,16345.5889563852,47523.6463624854,2400,2400,2400,27076.036492666,6693.27755735159,2399.98199185705,2400,2400,2400,2400,2400,2400,11273.0266960239,2400,2400,2399.99018208944,36066.1053356073,2400,2400,2399.87035225684,43513.9995127043,2399.95885522861,2400,45938.7402233558,11158.5618190531,2400,4717.56483509193,2400,2400,37395.7911654709,2400.05967444375,14996.0290287424,2400,2400,2400,18093.0844435434,2400
2399.51552706395,2399.51552706395,2399.51552706395,2399.51552706395,2399.6627087515,2400,2399.8734144312,2400,2399.51552706395,2399.6627087515,2400,2400,2399.91772698468,2400,2400,2399.93941109359,2399.96416971797,2399.99468698919,2399.97378345105,2399.99043082389,2400,2400,2400,2400,2399.76120261074,2400,25217.0923213352,2400,2400.00146172092,2399.98877813272,2399.92424425005,2400.002024262,2400,2399.78224750924,7606.01445324851,2399.93997281266,2399.99952364304,2399.9790205143,2400,2399.99671417205,2400,2400,2400,2400,2400,2400,2400.00006472104,2400,2400,2400,2399.99309437657,2400,2400,2400,2399.97773709399,2399.99309437657,2399.99435210389,2400,2400,2400,2400,2400,2399.83480790711,2399.51552706395,2400,2399.76205425999,2399.51552706395,2399.99649278409,2400,2400,2400,23164.6598983579,12846.1552208981,2399.97483177589,2399.99760364382,2400,2399.76205425999,2400,2399.87035225684,2399.51552706395,2400,2400,2400,2399.93993205444,2399.87035225684,2399.97352732197,2399.51552706395,2399.91772698468,2399.92945868684,2400,2399.99976054272,16345.5889563852,2400,2399.99719299415,2400,2399.95175224854,2399.51552706395,2399.6627087515,2400,2400,2399.99691296131,2400,2399.93957897329,2400,2400,2400,2399.98453796319,2399.95188854188,2400.02157686003,2399.99691296131,2399.95885522861,2399.93941109359,2399.90994729873,2400,2400,2399.96416971797,2400,2400,2399.97483177589,2399.87035225684,2399.9866275709,2399.93941109359,2399.7340445629,2400,2400,2400,2399.98453796319,2400,2400,2400,2399.95954847204,2399.90994729873,2400,2400,2399.76205425999,2399.91169437048,2399.91772698468,2400,2399.90994729873,2399.91772698468,2399.6627087515,6693.27755735159,2400,2400,2400,2399.95885522861,2400,2399.91169437048,2399.92919470975,2399.96416971797
2399.51552706395,2399.51552706395,2399.51552706395,2399.51552706395,2399.51552706395,2399.9790205143,2399.76205425999,2399.96416971797,2399.91772698468,2399.7340445629,2399.99043082389,2399.99649278409,2399.90994729873,2400,2399.51552706395,2399.76205425999,2399.51552706395,2400,2399.91772698468,2400,2400,2400,2399.59795549585,2400,2400,2399.99340725066,2399.94929767216,2400,2400,2400.00410955068,2399.92764858684,2400.00004221566,2400,2400,2400,2399.27335356784,2400,2400,2400,2400,2400,2400,2399.80909151952,2400.09220425756,2400,2399.98243092527,2400,2400,2400,2400,2400.00206172301,12732.4172660256,2400.00716967534,20769.3022459146,2399.99936567426,2399.97378345105,2400,2399.53491522413,2400,2399.95764498057,2399.94466691348,25521.4383224866,2399.95540708396,2400.31562503927,2400,2400,12850.2178255721,2399.98631495783,2399.99940213819,2399.96717600401,2399.99772530706,2399.91576735253,2399.79704387972,2400,2399.8746153116,32550.6449897547,2400,2399.98447378031,2400,28636.6287685581,2399.55290518905,2399.93016257435,2399.99691296131,2399.5251202276,2400,29662.555760807,2399.89448528245,2399.97203850833,2399.92242882389,2399.41301467131,2399.99760423514,2399.91683590178,2399.56714071409,2400,2399.99483153206,26090.8366529617,2400.00012399443,2400.00509574287,2400,2400,2400,26130.23437795,2400.00006472104,30481.0862757995,2399.80700632621,2400.02157686003,2399.51552706395,2399.99877448492,2399.51552706395,2399.96832440917,2399.93941109359,2399.99691296131,2400,2399.93997281266,2399.76205425999,2399.99691296131,2399.97557744263,2399.93941109359,2399.97773709399,2400,2399.93941109359,46118.4241103429,2399.95056913156,2400.00258713651,2400.00712774616,22557.5785469073,45626.2261133578,2399.99043082389,20299.3451574416,2399.95954847204,2400,2399.76120261074,2400,2399.6627087515,2399.99309437657,2400,2399.91772698468,12013.1973809504,2399.76140965155,2400,2400,2399.98453796319,2399.99435210389,2399.73532564885,2400,2400,2399.30324079696,2399.98204750457,2399.95954847204,2400
2399.27335356784,2399.30324079696,2399.41301467131,2399.51552706395,2399.51552706395,2399.94466691348,2399.51552706395,2399.93997281266,2399.30324079696,2399.95954847204,2399.51552706395,2399.51552706395,2399.99760423514,2399.53491522413,2399.93941109359,2399.91576735253,2400,2399.59795549585,2399.27335356784,2400,2399.77462480379,2400,2399.9935147413,2399.98540124629,2400.00258713651,2399.99339066266,2399.93997281266,2399.51552706395,2400,2399.99959100942,2399.96154848793,2399.91533043101,2399.5251202276,2399.92764858684,2400,2399.98631495783,2399.9155955683,2400,2400,2400,2400,2399.99610161004,2399.83699979762,26377.4007038955,2400,2399.51552706395,2399.76337018651,2400,31908.3224255936,33369.0886834681,2399.87560817957,2399.58552213564,9619.41930080568,2399.99882823007,11256.0076913734,2400.00430266788,2399.98954249312,2399.89746082412,2400,30992.7372013417,2534.21634309616,11648.71531338,2399.61954833616,2400,2399.94781338201,2399.52512102491,17103.751293244,2399.96956938843,2400.0023625056,2400,2399.99823121284,2400.02703169154,2399.57451484604,2399.85256107749,2399.83226827989,11768.5925036815,2399.98959255048,2398.93318499887,2400,15119.6361584782,2400,2399.53867676255,2399.95056913156,2399.96102338574,36787.3107733567,2399.91772698468,2400,2400.00628177739,2399.85669901672,2399.97359347758,8383.3858668272,2399.84033564087,12750.7887561996,2399.92764858684,2399.97853685503,2400,27515.7446714765,2400,28465.6227242312,2400,26681.6005686471,2399.91921005448,2398.87766573301,2400,47545.2993293996,2399.52958313203,2399.81245293281,20372.3422336267,7036.58002065169,2400,2399.98653608662,2400,2400.08134164651,2399.98560738241,2400,27478.8147831843,44844.2489590256,2400,2400,2400,2399.95501086785,2400,2400,2400.02420510816,2400,20862.6458069845,2400,2399.5251202276,2399.83126036997,8848.06628612047,24667.6972615663,2400,2399.9697105601,2400,2399.89591369441,2400,2400.00600282884,2400,2400,2400,2400,11462.5480321144,2400,2400,2447.64084792327,2400,3307.42057548053,2400,24742.2834365081,2400
2398.87766573301,2398.93318499887,2399.27335356784,2399.27335356784,2399.30324079696,2400,2399.30324079696,2399.91576735253,2399.57451484604,2399.83699979762,2399.27335356784,2399.87560817957,2400,11462.5480321144,2400,9619.41930080568,2400,30992.7372013417,2400,2400.02703169154,2400,2399.98243092527,2399.93720716893,6448.0450406358,17393.1016667319,2399.96916899223,2571.83550312857,2400,2399.63093407654,2400,9980.56892828876,2399.99246211364,2400,2400,2399.7017354139,2399.99857629923,2398.90902681693,2399.99429224582,2399.9296632925,2400.21029661891,17847.3687585786,2400.02366166922,2399.77208618794,2400,2400,2399.95361966724,2400.00915326709,2400,2399.76120261074,2399.99918089203,2399.94894192664,2399.98419081399,2400.0037679251,2399.72714276268,2399.99652329479,2399.99838967408,2400,2399.30327114289,39525.0250481016,2400.01470801183,2400,2399.91828138765,2400,33519.5913524137,2400,2399.9074431683,2399.90313613015,2400,2400,2400,2399.37228659136,2399.97431556307,2399.23523827419,2399.89488160523,11629.7245838597,5932.25584960639,2399.27313086087,2399.98727742467,2399.9033459125,2396.76715480969,2399.32659244513,4375.49913254864,2399.99970929053,9087.22856526819,2400,2400,2396.47026208453,2400,2400,2399.69757037989,2400,2399.51552706395,2399.99311205302,2399.84274730353,2399.98718239241,2400.00014744099,2400,2399.91671041206,2399.56023468038,2400,2399.99871671206,13552.6845584922,2399.70753236459,2400,2399.27335356784,2399.69543926572,2400.00804989168,5687.82576632594,10512.1665409342,2400.02609593016,2400.0345647059,2400.52595874896,35018.7856476072,10415.0154791744,2400,2400,2400,2400,2400,2399.41301467131,10207.9568646139,2399.89591369441,2400,34814.5181930308,2400.82667185454,47165.1944106368,2400,2399.52958313203,2400,2399.58873276875,36464.7047793443,2400,2399.79221220792,10284.7572478961,23108.3277081524,2400,2400,34357.3716636484,2400,2399.92764858684,32171.7342845738,2400.01773158438,2400,2400.00409928908,2400.02383011679,2399.91772698468,2400,45811.2644539375,11878.8100320478,37431.1649398801
2396.47026208453,2396.76715480969,2398.87766573301,2398.90902681693,2398.93318499887,2396.76715480969,2399.83699979762,2399.96916899223,2399.99970929053,2398.87766573301,2396.47026208453,2400,2398.90902681693,2400,2399.79221220792,2399.91576735253,2400.02703169154,2399.92764858684,2399.30324079696,2399.89591369441,2400.06545139477,2400.00993616958,2399.5333147147,2400.01691501991,2400,16328.8338643424,2399.36951453425,2399.87560817957,2399.99993521815,2400,2399.99804110558,2399.23176026775,2400.00017017726,2400.82490872126,2399.20975826933,2400.33615390898,2400,2399.84271646519,2400.00026367493,2400.30031653008,2399.39075984481,2400,2399.7564104412,2400,2399.98947860454,9942.86763833936,2399.99994809267,2400,2400,2398.87766573301,2400,2400.00015334098,2399.7886568515,2399.5283348177,40685.4703327401,8042.63435913886,2399.91581330262,12770.1508976582,2400,2399.99126489833,2400.00596816462,2399.9920429906,3122.34621841965,32684.8283237447,2400,2399.55694761874,2399.99329757391,2399.34230088779,2398.97128408936,2400,13382.025632813,2399.69608912052,2399.90318427896,16418.8583459065,2399.48512278525,2400,2400.04247624666,2400,2400,45962.7657945641,2400,2399.8802926802,2400,2400.55428130728,2399.99866846426,2399.52947864799,2399.30587496366,2399.41281773834,2400.79157247158,10415.5201232409,2399.80532151656,2400,2399.27335356784,2400,2400,2399.57498760916,2400,6255.05678620027,2399.89970264207,2400,2400,6575.10291215191,45965.5286553091,2399.96177119701,2400,2400,2400,44292.6982388174,39884.9432694106,24178.1982460702,2398.69197397159,18454.0635392557,33766.8093908334,2400,47295.4834175938,23071.8425870026,23147.1187418916,2400,2400.26434762334,2400,2400,34902.6766585649,2400,2400,2400,20069.4562425742,2400.39245392488,40075.0749362048,2400,2399.99419600963,2399.82152529048,43325.3121956069,2400,2399.60610755068,41275.4995053383,2400,31812.0165457714,2400.11947709634,35830.7744075565,2399.8640538835,2400.2513821718,47391.6539565182,2400,2400,37871.3282025666,34490.084401176,2400,2399.71897473662,2400,46121.7668236253
2396.47026208453,2396.47026208453,2396.76715480969,2396.76715480969,2398.69197397159,2400,2399.91581330262,2400,2399.30324079696,2400,2399.80532151656,6575.10291215191,2396.76715480969,2399.27335356784,2396.47026208453,2400,2399.99866846426,2400.55428130728,2399.99419600963,2398.69197397159,4184.99358404207,44502.3191460688,2399.11309781054,2400,2399.85705589952,46615.8292392238,2399.89796197074,2400,2400.11315690172,2400,28029.3469580922,2400,2400,2400.23013706616,2399.51657673834,2400,2400,2399.39075984481,20543.732271474,2400,2400,2398.91284957905,2400.00095054697,2400,2396.47026208453,2400,2400,32364.8337277696,2397.38773122473,10016.3482750474,2399.99149904516,17826.7568279804,24831.5967305306,8820.09609801095,2400.05056981713,2396.55957836132,2400,2400,16249.7378190577,2400.00025612104,2399.87423310631,2400,30177.964587012,25522.4341568301,2400,27154.0904878619,2399.69837880199,24071.0966620322,2399.22715265873,2399.49996621684,2400.02902785369,2400,2399.82002929569,2400,13473.2133049849,2399.28648190333,2399.49901636275,2400,2400.09636684794,2400,2399.84683301982,11595.651103874,2399.68202055774,2400,2399.70276342306,2400.00007449109,2400,2396.76715480969,6010.65672802451,2400.01083463095,2399.99960835829,2400,2400,2399.57942862542,2399.92181779218,2398.97807423576,9562.25639797756,2400,2396.69209686065,2399.01501457002,22235.0343645443,2398.97128408936,35553.9034242535,2400,2400.00814155652,2399.27335356784,2400,2399.99419600963,2400.19913249342,32836.5278947908,2400,2399.7822763741,39884.9432694106,2398.88868922636,2399.98947860454,34774.3366512135,2400.02752757477,2400.32004763077,16226.49380867,2398.98759087697,16418.8583459065,2400,5021.09819233045,2400.4510404101,31464.0865236348,2400,2400,2399.55694761874,2399.69608912052,2396.46678579232,45018.2092436877,2400,2400.00010365505,2400,46788.4832328103,2399.71068406574,2400,2399.89970264207,12800.494333068,2399.35191358192,4716.44281616243,2400,2399.87557956675,46898.0365888943,21787.651422475,2400.00015334098,7187.56801802345,2400,2400,2400
